index,id,up
0,NREL_ReferenceTurbine_2020ATB_4MW,4200.0
1,NREL_ReferenceTurbine_2020ATB_5.5MW,6000.0
2,Siemens_SWT_107_3600kW,3800.0
3,oedb:E-141/4200,4400.0
