,biomethane boiler,biomethane CHP,large scale heat pump,geothermal plant,elec boiler,selling,heating_grid_7MW,heating_grid_14MW,heating_grid_21MW,heating_grid_28MW,heating_grid_35MW,heating_grid_42MW,heating_grid_49MW,heating_grid_56MW,heating_grid_63MW,heating_grid_71MW,heating_grid_78MW,heating_grid_85MW,heating_grid_92MW,heating_grid_99MW,heating_grid_106MW,heating_grid_113MW,heating_grid_121MW,heating_grid_128MW,heating_grid_136MW,heating_grid_143MW
0,1.06,0.43,3.123616105250138,25.0,0.99,0.0,0.9631515715076928,0.9713517888368634,0.976869002006068,0.9781671090688054,0.9763192626547038,0.9716185839024958,0.9707115199799191,0.9676068002790005,0.9661992267128905,0.965205662073111,0.9635617219294578,0.9617164321198752,0.9590036376374882,0.9547625771912696,0.9495400904844988,0.9427969940704886,0.9326590737516494,0.9218757900130787,0.9080749225872031,0.8766180841998238
1,1.06,0.43,3.1175354614074773,25.0,0.99,0.0,0.963741181864345,0.9718101878159371,0.9772391202590016,0.9785164563581037,0.9766981772668931,0.9720727139034817,0.9711801638775563,0.9681251226830235,0.9667400716500658,0.9657624050017499,0.9641447694842116,0.9623290060893847,0.9596596189322957,0.9554864195391691,0.950347497651192,0.9437122972762878,0.9337365934496974,0.9231258526398519,0.9095458123889202,0.8785923137221101
2,1.06,0.43,3.0880119104378823,25.0,0.99,0.0,0.9672232859851478,0.9745173875046731,0.9794249541392651,0.9805796216704703,0.9789359604361514,0.9747547019825112,0.9739478677157611,0.9711862164351771,0.9699341783396885,0.9690504015984329,0.9675881151957088,0.9659467280636677,0.9635336946571323,0.9597612671465688,0.9551158599952183,0.9491178689877393,0.9401001787200167,0.9305084370446852,0.9182325516600683,0.8902516624384341
3,1.06,0.43,3.074703285405339,25.0,0.99,0.0,0.9716776353910285,0.9779804698556804,0.9822210990872975,0.9832188475133941,0.9817985595384946,0.9781855333396303,0.9774883477013278,0.9751020043218147,0.9740201179732112,0.973256446328536,0.9719928843789785,0.9705745614562756,0.9684894588458506,0.9652297035400966,0.9612156063661684,0.956032741233374,0.948240553414379,0.9399523276684818,0.9293447328496871,0.9051664413266484
4,1.06,0.43,3.063445138236071,25.0,0.99,0.0,0.9764676422563162,0.9817045127460925,0.9852279475127337,0.9860569521959678,0.9848768697704419,0.9818748949628001,0.9812956205243551,0.9793128663694219,0.9784139535510593,0.9777794375214368,0.9767295749044266,0.9755511251925498,0.9738186646004258,0.9711102139088627,0.9677749990700257,0.9634686836148695,0.956994345970601,0.9501078625852737,0.94129427235288,0.9212051232438048
5,1.06,0.43,3.082014476839485,25.0,0.99,0.0,0.9813384282751859,0.9854913582672838,0.9882855037299512,0.9889429189590109,0.9880070929332037,0.9856264743483988,0.9851670995760475,0.9835947408146357,0.9828818872103796,0.9823787048889855,0.9815461454513832,0.9806116141960873,0.9792377426124372,0.9770898937910715,0.9744450100267439,0.9710300264704258,0.9658957633576865,0.9604346614559224,0.9534453300822276,0.9375142830926791
6,1.06,0.43,3.089346578209542,25.0,0.99,0.0,0.9828284281551128,0.9866497748657586,0.9892208267720382,0.9898257518557444,0.9889646451883409,0.9867741028445847,0.9863514060308608,0.9849045894477957,0.9842486523669927,0.9837856457397745,0.9830195605241911,0.9821596452486591,0.9808954679889845,0.9789191103224436,0.9764854025806602,0.9733430822900038,0.9686187552498687,0.9635936852803495,0.9571624045929069,0.942503343610302
7,1.06,0.43,3.0601433541013296,25.0,0.99,0.0,0.982233823657391,0.9861874931374388,0.9888475735287727,0.9894734455111557,0.9885825210785483,0.9863161262536205,0.9858787926070613,0.9843818767287517,0.9837032263435411,0.9832241870650604,0.9824315744168729,0.9815418826307739,0.9802339303753499,0.9781891368563287,0.9756711564817032,0.9724200262466232,0.9675321087016615,0.9623330343234466,0.9556790560019488,0.9405123918906745
8,1.06,0.43,2.9440782136325474,25.0,0.99,0.0,0.9807488617566171,0.9850329933706045,0.987915412995657,0.9885935976440114,0.9876282064936714,0.9851723781124045,0.984698490522524,0.9830764569483699,0.9823410824855329,0.9818220033547058,0.9809631412467621,0.9799990857720274,0.9785818100904548,0.9763661052615298,0.9736376628915312,0.9701147913182788,0.9648183237742392,0.9591846917724787,0.9519745496425477,0.9355402003562105
9,1.06,0.43,2.976417744100196,25.0,0.99,0.0,0.9792193776113378,0.9838438793009562,0.9869553043521203,0.9876873701089119,0.9866452795738514,0.9839943380244598,0.9834828005280539,0.9817318979694577,0.9809380987232375,0.9803777792620616,0.9794506813978487,0.9784100326565167,0.9768801558052339,0.9744884153900691,0.9715432009365987,0.9677404406549996,0.962023173933676,0.9559419553675215,0.9481589744821091,0.9304189321840834
