,pv panels,st panels,electricity grid,biomethane,dec ground heat pump
0,0.0,0.0,5.798261258761068,0.0,5.472093788197457
1,0.0,0.0,5.900252126309881,0.0,5.561076367771287
2,0.0,0.0,6.564602290244164,0.0,6.151869176575677
3,0.0,0.0,7.593247986398973,0.0,7.1193934349083685
4,0.0,0.0,9.125271106239104,0.0,8.568544590982572
5,0.0,0.0,11.378197540165228,0.0,10.804987898730118
6,0.0,0.0,12.316552626219316,0.0,11.742550913735691
7,0.0,0.0,12.025566287116082,0.0,11.349547182749136
8,0.34000321798432676,0.0,11.21377781546508,0.0,10.474084914289513
9,1.7348812807336176,0.0,8.869561530789236,0.0,9.703176973559861
10,3.5370750996859157,0.6495452069164674,6.109316858572772,0.0,9.228813963238112
11,5.892059337531227,3.5572351254772707,1.9896206313514808,0.0,8.70909191713168
12,6.471613148362583,4.50721387800259,0.023635838676960397,0.0,7.837023685555652
13,6.015139548952666,4.341038553797265,3.195729996002548,0.0,7.69459087102214
14,4.327092061617818,2.7363093162030445,5.368533374747414,0.0,7.839035689372693
15,2.3687987174683203,1.5556978224839804,7.938818718508435,0.0,8.070053962359516
16,0.0,0.0,8.607043620447016,0.0,8.40451843548734
17,0.0,0.0,9.422776780964597,0.0,8.794682564020189
18,0.0,0.0,9.581543191379492,0.0,8.656026823654855
19,0.0,0.0,9.910829875016764,0.0,8.801666042067419
20,0.0,0.0,9.695969825838993,0.0,8.484682956055593
21,0.0,0.0,8.89943376831254,0.0,7.703399221993132
22,0.0,0.0,7.2159334346228,0.0,6.194050884794411
23,0.0,0.0,6.5371325588252285,0.0,5.581343317495655
24,0.0,0.0,8.486900892256653,0.0,7.204121596294794
25,0.0,0.0,8.046565513821573,0.0,6.7845129506318305
26,0.0,0.0,9.096728813732772,0.0,7.662499310180514
27,0.0,0.0,11.038895347022972,0.0,9.176046519284359
28,0.0,0.0,13.811144219844246,0.0,11.330232577671019
29,0.0,0.0,13.378814126285787,0.0,10.938252973437855
30,0.0,0.0,14.322212053649544,0.0,11.608098660201994
31,0.0,0.0,13.423607432108343,0.0,10.907836910753394
32,0.8728652747899198,0.0,11.970024193068213,0.0,10.390869198953306
33,1.6407939239454665,0.0,10.1562362742049,0.0,9.676910023086476
34,2.7527055914840513,0.0,8.10840677640853,0.0,9.324112054925605
35,4.8046176418423885,1.914598928794682,4.361293569644652,0.0,8.825867211967676
36,6.072901804099478,3.8393264759465366,1.5593202903393646,0.0,8.49497173571332
37,4.053173019006296,1.5918497780678913,4.080934180099874,0.0,8.665493599895255
38,0.981251473398189,0.0,10.219966132529901,0.0,8.481267470590533
39,0.6788939264661227,0.0,10.90139252603896,0.0,9.002917926105248
40,0.0,0.0,12.026544482767894,0.0,9.512855628164633
41,0.0,0.0,12.38505305749267,0.0,9.75593872657545
42,0.0,0.0,12.606949534074811,0.0,9.864906077043683
43,0.0,0.0,10.188116790674263,0.0,10.213972498369786
44,0.0,0.0,9.938864985840596,0.0,9.815420501466075
45,0.0,0.0,9.260422970203559,0.0,9.061384804026744
46,0.0,0.0,7.4488810370782215,0.0,7.348361852301403
47,0.0,0.0,6.52664638426507,0.0,6.507055657979135
48,0.0,0.0,5.667273316455484,0.0,5.560624656869131
49,0.0,0.0,5.90802704243752,0.0,5.802588030584811
50,0.0,0.0,6.403846740738502,0.0,6.277327885107334
51,0.0,0.0,7.3436394673537935,0.0,7.197576893080176
52,0.0,0.0,8.696090371453948,0.0,8.489979793228871
53,0.0,0.0,10.648759986945187,0.0,10.388228898296287
54,0.0,0.0,11.707000024673315,0.0,11.490645619677489
55,0.0,0.0,11.371324368991566,0.0,11.117873114732154
56,0.44477177691924474,0.0,10.19577036186079,0.0,10.357051184669038
57,1.2037360752544697,0.0,8.772581069467778,0.0,9.68600566992521
58,1.4521550034797346,0.0,7.730029201110492,0.0,8.941040416701599
59,2.6751254316840236,0.0,6.036737991378121,0.0,8.607054100549785
60,2.9513326571782117,0.005238030405873408,5.354310292098878,0.0,8.246708224927017
61,1.6463194936101768,0.0,6.532368676548922,0.0,8.117448913342766
62,1.507385466316436,0.0,6.705460434381098,0.0,8.103116375275329
63,0.33009569398660954,0.0,8.144625300790157,0.0,8.361103518963587
64,0.0,0.0,8.70604805550861,0.0,8.545610727156912
65,0.0,0.0,9.047869032580005,0.0,8.85818107741505
66,0.0,0.0,9.119011945721686,0.0,8.909698144599224
67,0.0,0.0,9.131691692332009,0.0,8.89659635200236
68,0.0,0.0,8.649544199194194,0.0,8.420774337645637
69,0.0,0.0,7.5701835023918305,0.0,7.345405251183899
70,0.0,0.0,6.231556789698495,0.0,6.048810461275353
71,0.0,0.0,5.604800497468454,0.0,5.368610142775293
72,0.0,0.0,5.353590777843256,0.0,5.106092116937538
73,0.0,0.0,5.641357139404378,0.0,5.345528506270043
74,0.0,0.0,6.0805600880333825,0.0,5.774283730196272
75,0.0,0.0,6.9456407668472915,0.0,6.632491674547251
76,0.0,0.0,8.259818482009678,0.0,7.892836465968772
77,0.0,0.0,10.254898058038725,0.0,9.77468500468787
78,0.0,0.0,11.475103392513791,0.0,10.805708039401527
79,0.0,0.0,11.450962465956994,0.0,10.725760515101111
80,0.0,0.0,10.575043197986936,0.0,9.827731973302633
81,0.06818921475106039,0.0,9.714333083750258,0.0,9.120782123761177
82,1.2029792196456863,0.0,7.824813868667889,0.0,8.51980280450618
83,2.9846922306363424,0.2469688381809291,5.180839661225459,0.0,8.100422752148457
84,4.812441551395208,2.610544797082988,5.02291718066701,0.0,7.858587974133979
