,dec air heat pump,dec ground heat pump
4893,0.03635878486982842,0.03635878486982842
4894,0.027314515771707244,0.027314515771707244
4895,0.0267595927177571,0.0267595927177571
4896,0.02917706701061389,0.02917706701061389
4897,0.03311921034163412,0.03311921034163412
4898,0.04097200604837876,0.04097200604837876
4899,0.051416591903217373,0.051416591903217373
4900,0.0589990041098923,0.0589990041098923
4901,0.054239152288370084,0.054239152288370084
4902,0.06806016238370124,0.06806016238370124
4903,0.05341686810159959,0.05341686810159959
4904,0.045350836102381956,0.045350836102381956
4905,0.045255413226447425,0.045255413226447425
4906,0.040823297067175024,0.040823297067175024
4907,0.04031717615452805,0.04031717615452805
4908,0.0376862573459127,0.0376862573459127
4909,0.034042914429694954,0.034042914429694954
4910,0.03414350129874928,0.03414350129874928
4911,0.03141734794708428,0.03141734794708428
4912,0.03411267806281379,0.03411267806281379
4913,0.037179524977311564,0.037179524977311564
4914,0.039254866365612706,0.039254866365612706
4915,0.04079981283272042,0.04079981283272042
4916,0.04449135213712932,0.04449135213712932
4917,0.038707310410073095,0.038707310410073095
4918,0.030975071117397442,0.030975071117397442
4919,0.025678018171661435,0.025678018171661435
4920,0.02686237031276188,0.02686237031276188
4921,0.027977509284105327,0.027977509284105327
4922,0.02821201119679338,0.02821201119679338
4923,0.03753301147558586,0.03753301147558586
4924,0.061670210507830246,0.061670210507830246
4925,0.07490599090731893,0.07490599090731893
4926,0.07986544533393561,0.07986544533393561
4927,0.06133593632840716,0.06133593632840716
4928,0.05386428500028789,0.05386428500028789
4929,0.05267875091037704,0.05267875091037704
4930,0.04925081067118328,0.04925081067118328
4931,0.04663974032650705,0.04663974032650705
4932,0.03957094291480734,0.03957094291480734
4933,0.03599822357857755,0.03599822357857755
4934,0.035257530232730976,0.035257530232730976
4935,0.031826795670427274,0.031826795670427274
4936,0.03390414028635626,0.03390414028635626
4937,0.035979625428007866,0.035979625428007866
4938,0.040325311745692635,0.040325311745692635
4939,0.04327393512584466,0.04327393512584466
4940,0.041092404799726166,0.041092404799726166
4941,0.038659200399076554,0.038659200399076554
4942,0.028419214647279947,0.028419214647279947
4943,0.023162430582762385,0.023162430582762385
4944,0.02705454913875852,0.02705454913875852
4945,0.028076551308856872,0.028076551308856872
4946,0.028464002822267038,0.028464002822267038
4947,0.03793271359805783,0.03793271359805783
4948,0.060086911244921895,0.060086911244921895
4949,0.0772816322101755,0.0772816322101755
4950,0.08325651662903916,0.08325651662903916
4951,0.06803354541113747,0.06803354541113747
4952,0.0601170516698294,0.0601170516698294
4953,0.05918534176503647,0.05918534176503647
4954,0.05503117795967233,0.05503117795967233
4955,0.05198634923191375,0.05198634923191375
4956,0.04466264812880395,0.04466264812880395
4957,0.03993623137537816,0.03993623137537816
4958,0.038378765431065005,0.038378765431065005
4959,0.03420686147468836,0.03420686147468836
4960,0.03664949628985956,0.03664949628985956
4961,0.038578835251935194,0.038578835251935194
4962,0.042936402537144404,0.042936402537144404
4963,0.045137589030146356,0.045137589030146356
4964,0.04273570853324549,0.04273570853324549
4965,0.04006172450344293,0.04006172450344293
4966,0.02983460478083307,0.02983460478083307
4967,0.023714761973139712,0.023714761973139712
4968,0.027976846154837465,0.027976846154837465
4969,0.02904979814268585,0.02904979814268585
4970,0.029426259583791418,0.029426259583791418
4971,0.03922302399005569,0.03922302399005569
4972,0.06220085920549964,0.06220085920549964
4973,0.08045503297484179,0.08045503297484179
4974,0.08698447636986668,0.08698447636986668
4975,0.07126510313419651,0.07126510313419651
4976,0.06281479777377456,0.06281479777377456
4977,0.06183135606638757,0.06183135606638757
4978,0.05750063233739756,0.05750063233739756
4979,0.05431408387877948,0.05431408387877948
4980,0.046761365119371304,0.046761365119371304
4981,0.041771179606402774,0.041771179606402774
4982,0.04014756681319471,0.04014756681319471
4983,0.035786274876588586,0.035786274876588586
4984,0.03838603759801769,0.03838603759801769
4985,0.040453357104263114,0.040453357104263114
4986,0.0449244104615635,0.0449244104615635
4987,0.04722848860641336,0.04722848860641336
4988,0.04479697120383931,0.04479697120383931
4989,0.04193530476089329,0.04193530476089329
4990,0.031173182498814768,0.031173182498814768
4991,0.024630705258040637,0.024630705258040637
4992,0.028532684097672636,0.028532684097672636
4993,0.029627246519046007,0.029627246519046007
4994,0.030010879005976255,0.030010879005976255
4995,0.04000466756766473,0.04000466756766473
4996,0.06344291638952534,0.06344291638952534
4997,0.08207645392934972,0.08207645392934972
4998,0.08874935162335888,0.08874935162335888
4999,0.07271024436935965,0.07271024436935965
5000,0.06408412191527617,0.06408412191527617
5001,0.06307998772331087,0.06307998772331087
5002,0.058661926566268036,0.058661926566268036
5003,0.05541115673299835,0.05541115673299835
5004,0.04770720910116858,0.04770720910116858
5005,0.04261444218487483,0.04261444218487483
5006,0.040957692749127604,0.040957692749127604
5007,0.03650806649984092,0.03650806649984092
5008,0.03916266740371497,0.03916266740371497
5009,0.04127343025740133,0.04127343025740133
5010,0.04583254655555184,0.04583254655555184
5011,0.048183398716302756,0.048183398716302756
5012,0.04570363853778488,0.04570363853778488
5013,0.042781669476858054,0.042781669476858054
5014,0.03179819584746436,0.03179819584746436
5015,0.025120984857472727,0.025120984857472727
5016,0.028498858106701056,0.028498858106701056
5017,0.029414960167073248,0.029414960167073248
5018,0.029170697422752797,0.029170697422752797
5019,0.03774847020737544,0.03774847020737544
5020,0.06044805137465167,0.06044805137465167
5021,0.07674427495327095,0.07674427495327095
5022,0.08805338580764134,0.08805338580764134
5023,0.07403899476891503,0.07403899476891503
5024,0.06511721618291624,0.06511721618291624
5025,0.06245372649543179,0.06245372649543179
5026,0.05727865783025647,0.05727865783025647
5027,0.054043701908740575,0.054043701908740575
5028,0.048530348714262594,0.048530348714262594
5029,0.04143212192470673,0.04143212192470673
5030,0.04039923866222646,0.04039923866222646
5031,0.03544960689439678,0.03544960689439678
5032,0.039421174804540125,0.039421174804540125
5033,0.0424177422568913,0.0424177422568913
5034,0.04813689433356076,0.04813689433356076
5035,0.04916455546174999,0.04916455546174999
5036,0.04778624840705536,0.04778624840705536
5037,0.042926880181679755,0.042926880181679755
5038,0.03171108256892704,0.03171108256892704
5039,0.026487497321837528,0.026487497321837528
5040,0.030088684202910936,0.030088684202910936
5041,0.02723852999006113,0.02723852999006113
5042,0.029218975180764974,0.029218975180764974
5043,0.03579290547379863,0.03579290547379863
