,pv panels,st panels,dec air heat pump,dec ground heat pump
7943,0.0,0.0,0.3386538933480749,0.3386538933480749
7944,0.0,0.0,0.34786020981882954,0.34786020981882954
7945,0.0,0.0,0.3585446542938128,0.3585446542938128
7946,0.0,0.0,0.38476117119491926,0.38476117119491926
7947,0.0,0.0,0.41895043251641534,0.41895043251641534
7948,0.0,0.0,0.5052414745761072,0.5052414745761072
7949,0.0,0.0,0.6064619794677792,0.6064619794677792
7950,0.0,0.0,0.6558653248231443,0.6558653248231443
7951,0.0,0.0,0.6335314329149675,0.6335314329149675
7952,0.01317151,0.0,0.6059614451844934,0.6059614451844934
7953,0.05828393,0.0,0.5801573501780084,0.5801573501780084
7954,0.09923999,0.0,0.5492450254160027,0.5492450254160027
7955,0.15842223,0.0,0.5214641278049212,0.5214641278049212
7956,0.16342569,0.0,0.5127984185156319,0.5127984185156319
7957,0.16302781,0.0,0.5055004503750047,0.5055004503750047
7958,0.07335934,0.0,0.5093760309669336,0.5093760309669336
7959,0.02143263,0.0,0.5131278543203129,0.5131278543203129
7960,0.0,0.0,0.5281407615560116,0.5281407615560116
7961,0.0,0.0,0.5307696528651465,0.5307696528651465
7962,0.0,0.0,0.5246472505245277,0.5246472505245277
7963,0.0,0.0,0.5076270283922882,0.5076270283922882
7964,0.0,0.0,0.4858681756183009,0.4858681756183009
7965,0.0,0.0,0.42861415865625413,0.42861415865625413
7966,0.0,0.0,0.36753189330124203,0.36753189330124203
7967,0.0,0.0,0.3440665074354317,0.3440665074354317
7968,0.0,0.0,0.33229763553279046,0.33229763553279046
7969,0.0,0.0,0.3423834192840899,0.3423834192840899
7970,0.0,0.0,0.3629195103709419,0.3629195103709419
7971,0.0,0.0,0.39516492386535335,0.39516492386535335
7972,0.0,0.0,0.474880651510492,0.474880651510492
7973,0.0,0.0,0.5721765056353504,0.5721765056353504
7974,0.0,0.0,0.6263739598546201,0.6263739598546201
7975,0.0,0.0,0.6052772119233104,0.6052772119233104
7976,0.00269259,0.0,0.5775966676429423,0.5775966676429423
7977,0.01368822,0.0,0.5499234605558367,0.5499234605558367
7978,0.0222214,0.0,0.5199358752954777,0.5199358752954777
7979,0.03710043,0.0,0.4970670442745646,0.4970670442745646
7980,0.0364911,0.0,0.48472105100487806,0.48472105100487806
7981,0.02646298,0.0,0.47783978258595844,0.47783978258595844
7982,0.01761712,0.0,0.48233441990790427,0.48233441990790427
7983,0.00327112,0.0,0.48838485029409945,0.48838485029409945
7984,0.0,0.0,0.49172995111767126,0.49172995111767126
7985,0.0,0.0,0.4892369891377479,0.4892369891377479
7986,0.0,0.0,0.4834829424131242,0.4834829424131242
7987,0.0,0.0,0.47912389433626623,0.47912389433626623
7988,0.0,0.0,0.4527616656452436,0.4527616656452436
7989,0.0,0.0,0.39957275767045664,0.39957275767045664
7990,0.0,0.0,0.34352110638921196,0.34352110638921196
7991,0.0,0.0,0.3246062902084711,0.3246062902084711
7992,0.0,0.0,0.3484826242710334,0.3484826242710334
7993,0.0,0.0,0.35905738292275435,0.35905738292275435
7994,0.0,0.0,0.38058225156039327,0.38058225156039327
7995,0.0,0.0,0.4143915589367908,0.4143915589367908
7996,0.0,0.0,0.4979737294125051,0.4979737294125051
7997,0.0,0.0,0.6000720818384556,0.6000720818384556
7998,0.0,0.0,0.6570556199516938,0.6570556199516938
7999,0.0,0.0,0.6348919648365814,0.6348919648365814
8000,0.07300791,0.0,0.6058474481516544,0.6058474481516544
8001,0.11345967,0.0,0.5768246064397342,0.5768246064397342
8002,0.10559428,0.0,0.5453739987521765,0.5453739987521765
8003,0.1330097,0.0,0.5213887341452035,0.5213887341452035
8004,0.09393749,0.0,0.5084400923351347,0.5084400923351347
8005,0.06828638,0.0,0.5012247778504783,0.5012247778504783
8006,0.03601574,0.0,0.5059454208935015,0.5059454208935015
8007,0.01041189,0.0,0.5122993252431934,0.5122993252431934
8008,0.0,0.0,0.5158378129216431,0.5158378129216431
8009,0.0,0.0,0.513251027365276,0.513251027365276
8010,0.0,0.0,0.5072257680725172,0.5072257680725172
8011,0.0,0.0,0.5026567309154196,0.5026567309154196
8012,0.0,0.0,0.4750104753212531,0.4750104753212531
8013,0.0,0.0,0.4192089673882485,0.4192089673882485
8014,0.0,0.0,0.3603233707625006,0.3603233707625006
8015,0.0,0.0,0.3404369641453899,0.3404369641453899
8016,0.0,0.0,0.3567494705206632,0.3567494705206632
8017,0.0,0.0,0.3675675367601902,0.3675675367601902
8018,0.0,0.0,0.3896375644209915,0.3896375644209915
8019,0.0,0.0,0.42426074387469725,0.42426074387469725
8020,0.0,0.0,0.509853789350489,0.509853789350489
8021,0.0,0.0,0.6141170109014628,0.6141170109014628
8022,0.0,0.0,0.67219813123009,0.67219813123009
8023,0.0,0.0,0.6495875429842166,0.6495875429842166
8024,0.02746101,0.0,0.6198761860112162,0.6198761860112162
8025,0.08020013,0.0,0.5901576761441204,0.5901576761441204
8026,0.11073045,0.0,0.5579559227746987,0.5579559227746987
8027,0.11611043,0.0,0.5334099839365541,0.5334099839365541
8028,0.1644011,0.0,0.5201513217174738,0.5201513217174738
8029,0.10135383,0.0,0.5127603256164305,0.5127603256164305
8030,0.04006205,0.0,0.5175807030231524,0.5175807030231524
8031,0.00836846,0.0,0.5240681978413032,0.5240681978413032
8032,0.0,0.0,0.5276084909561235,0.5276084909561235
8033,0.0,0.0,0.5248836938376888,0.5248836938376888
8034,0.0,0.0,0.5186791371875222,0.5186791371875222
8035,0.0,0.0,0.5139930401540663,0.5139930401540663
8036,0.0,0.0,0.48568149586217424,0.48568149586217424
8037,0.0,0.0,0.4286025311174713,0.4286025311174713
8038,0.0,0.0,0.36856171879712346,0.36856171879712346
8039,0.0,0.0,0.34841154529823515,0.34841154529823515
8040,0.0,0.0,0.36149280392078464,0.36149280392078464
8041,0.0,0.0,0.374433461751834,0.374433461751834
8042,0.0,0.0,0.3887764164776725,0.3887764164776725
8043,0.0,0.0,0.42245055745386406,0.42245055745386406
8044,0.0,0.0,0.5102338622207107,0.5102338622207107
8045,0.0,0.0,0.6368267096757404,0.6368267096757404
8046,0.0,0.0,0.6986953559315224,0.6986953559315224
8047,0.0,0.0,0.6726141076644996,0.6726141076644996
8048,0.00975727,0.0,0.6402499915970012,0.6402499915970012
8049,0.04561606,0.0,0.6115941924564432,0.6115941924564432
