snapshot,15 MW,31 MW,47 MW,62 MW,78 MW,94 MW,110 MW,126 MW,142 MW,159 MW
2022-03-28 02:00:00,0.9715425949414863,0.9774394471651661,0.9723812537406131,0.9691175298838619,0.9675239093275848,0.9655116427171391,0.9596585975724593,0.9492240388695267,0.9284107297865661,0.8824834457872561
2022-03-28 03:00:00,0.9757300597158709,0.9807591989166788,0.9764453111216724,0.9736618393699661,0.9723027177052578,0.9705865531297861,0.9655947748615428,0.9566956459321588,0.9389449842846925,0.8997758317290198
2022-03-28 04:00:00,0.9807959958827662,0.9847753880356844,0.9813619507545568,0.9791594812653784,0.9780840530715174,0.9767261085859777,0.9727762789080551,0.9657346913887219,0.9516891776638908,0.9206959177653657
2022-03-28 05:00:00,0.9855247976043177,0.9885243026280428,0.9859513915201479,0.9842912590065561,0.9834806446850254,0.9824570809974585,0.9794798589729592,0.9741721948052668,0.9635852540466043,0.9402237869695103
2022-03-28 06:00:00,0.9866439349791362,0.9894115359447179,0.9870375471664886,0.9855057663188925,0.9847578239213177,0.9838133961481893,0.981066355391604,0.9761690485495419,0.966400627681941,0.9448453316152341
2022-03-28 07:00:00,0.9855417372128407,0.9885377320652069,0.985967831907055,0.984309642163872,0.9834999764639145,0.9824776106019595,0.9795038726721348,0.9742024197995052,0.9636278684104007,0.9402937400948653
2022-03-28 08:00:00,0.9840994411644559,0.9873943039790497,0.9845680412898379,0.982744437447515,0.981854002871189,0.9807296500510213,0.9774592644168177,0.9716289606966518,0.959999536124893,0.934337692401398
2022-03-28 09:00:00,0.9825310911078703,0.9861509423920616,0.9830459115605223,0.9810424367326023,0.9800641742294335,0.9788289209794526,0.9752359611799313,0.9688305860258613,0.9560540943054682,0.9278610971506945
2022-03-28 10:00:00,0.9809806441169902,0.9849217740549122,0.9815411572815677,0.9793598647354699,0.9782947768808327,0.9769498891541805,0.9730380374453865,0.9660641554260961,0.9521536905844159,0.921458433679338
2022-03-28 11:00:00,0.9793297963915258,0.9836130097014505,0.979938961144965,0.977568336117765,0.976410800449802,0.9749491787570678,0.970697784976737,0.9631185818656062,0.9480007123470645,0.9146411593766525
2022-03-28 12:00:00,0.9781004522523218,0.9826384063127129,0.9787458466014454,0.9762342305110395,0.9750078513175708,0.9734593008216312,0.968955058732387,0.9609250884638061,0.9449080955190079,0.9095645093137307
2022-03-28 13:00:00,0.9771593375240375,0.9818923063606111,0.9778324671549354,0.9752129164659838,0.9739338346535054,0.9723187364965814,0.9676209283748882,0.9592458768573922,0.9425405670515861,0.9056781198218067
2022-03-28 14:00:00,0.9771682196234883,0.9818993479398954,0.9778410874929627,0.9752225554745405,0.9739439710614642,0.9723295009713694,0.9676335196968169,0.9592617250043172,0.9425629114296606,0.9057147989820987
2022-03-28 15:00:00,0.9764967794002801,0.981367041406676,0.9771894350631294,0.9744938968851378,0.973177711680991,0.9715157630263785,0.9666816816710102,0.958063688057345,0.9408737934137144,0.9029420464690353
2022-03-28 16:00:00,0.9773813648674481,0.9820683259098811,0.9780479512037338,0.9754538643944315,0.9741872161590056,0.9725878178949158,0.9679356757804238,0.9596420356686308,0.943099113252461,0.9065949950001644
2022-03-28 17:00:00,0.9782561352995385,0.9827618292181043,0.9788969415649225,0.9764031804572266,0.9751855195465318,0.9736479776368312,0.969175756032299,0.9612028705151877,0.9452997417605374,0.9102074117575983
2022-03-28 18:00:00,0.9798758779438703,0.9840459339856031,0.98046894930798,0.9781609533007645,0.9770339983124324,0.9756109908809811,0.9714719137357046,0.9640929439207163,0.9493744700642204,0.9168962357695535
2022-03-28 19:00:00,0.9804476534797629,0.9844992280284242,0.9810238742356279,0.9787814540408718,0.977686518600552,0.976303942291235,0.9722824664528,0.96511315122093,0.9508128652115038,0.9192574170024549
2022-03-28 20:00:00,0.9800432354266263,0.984178612187437,0.9806313746535568,0.9783425725471186,0.97722498961236,0.9758138162843297,0.9717091607913386,0.9643915564267349,0.949795485263274,0.9175873484924022
2022-03-28 21:00:00,0.9775271106873642,0.982183870748348,0.9781894017966586,0.9756120302889977,0.9743535438495659,0.972764451495183,0.9681422860023073,0.959902086930219,0.9434657607687401,0.9071968610702518
2022-03-28 22:00:00,0.9707889929714374,0.9768420041788233,0.9716498609256828,0.9682997079400955,0.9666638855179683,0.964598330560297,0.9585902865201541,0.9478794024116213,0.9265149204196796,0.8793714014323334
2022-03-28 23:00:00,0.9648785399358689,0.9721562962686127,0.9659135929022373,0.9618855816742442,0.959918772662334,0.9574352805360549,0.9502115898699615,0.9373335029179594,0.9116462063335886,0.8549638325360099
2022-03-29 00:00:00,0.9625008833606301,0.9702713300646152,0.9636060074597679,0.9593053074721422,0.957205349201321,0.9545537293442238,0.9468410084505041,0.9330910993116677,0.9056648212182021,0.8451451576691761
2022-03-29 01:00:00,0.9651107365934076,0.9723403778793464,0.9661389465686611,0.962137565518968,0.9601837595678003,0.9577166864221015,0.9505407533613212,0.9377478066267327,0.912230335112197,0.8559227025045666
2022-03-29 02:00:00,0.9677554305777233,0.9744370468568037,0.9687056996487944,0.9650076333543529,0.9632019308121152,0.9609218680206122,0.9542898887480368,0.9424666795764445,0.9188834966315174,0.866844124304794
2022-03-29 03:00:00,0.9730049282968206,0.9785987604917791,0.973800491151915,0.9707044794336568,0.9691927498470728,0.9672838870634423,0.9617316108443811,0.9518332501260545,0.9320894692043691,0.8885222387367849
2022-03-29 04:00:00,0.9787913113313185,0.9831861077886936,0.9794163456003727,0.9769839627799414,0.975796271837475,0.9742965730430285,0.9699344250544117,0.9621577740747971,0.9466460648519109,0.9124174531518403
2022-03-29 05:00:00,0.9842241839773059,0.9874931979862257,0.9846891078483909,0.9828798105141078,0.9819963615610455,0.980880829495851,0.9776361006393326,0.9718515367257575,0.9603133471318326,0.9348528252991022
2022-03-29 06:00:00,0.9854224330762933,0.98844314974927,0.9858520437433689,0.9841801712432423,0.9833638244870164,0.982333022447203,0.9793347463525062,0.9739895478883953,0.9633277392857913,0.9398010665358553
2022-03-29 07:00:00,0.9845973821093357,0.9877890631980469,0.9850513075813537,0.9832848116073596,0.9824222618267112,0.9813331191718869,0.9781651487376558,0.9725174264583929,0.9612521882476016,0.9363939692798902
2022-03-29 08:00:00,0.9829383099454014,0.9864737786478822,0.9834411293859948,0.9814843576862143,0.9805288995219886,0.9793224413384667,0.9758132372515599,0.969557178201907,0.9570785200862474,0.9295427316672213
2022-03-29 09:00:00,0.9811955026831147,0.9850921103179378,0.981749683821751,0.9795930329823249,0.9785399772517329,0.9772102825027148,0.9733426223456335,0.9664475231358242,0.9526942025501532,0.9223457049636355
2022-03-29 10:00:00,0.9795339017334651,0.9837748209889247,0.9801370513656866,0.9777898347790105,0.9766437290523192,0.9751965399603001,0.9709871260364664,0.9634827628191232,0.9485141728135424,0.9154840245792877
2022-03-29 11:00:00,0.9776870852604053,0.9823106959033437,0.9783446618118178,0.9757856374735292,0.9745361096432031,0.9729583293354102,0.9683690669971294,0.9601875262626491,0.9438682030474078,0.9078574856263836
2022-03-29 12:00:00,0.9764282135290172,0.9813126835353903,0.9771228898740452,0.974419488011036,0.9730994631039478,0.9714326660517716,0.9665844822461249,0.957941347386895,0.9407013047178838,0.9026588996075822
2022-03-29 13:00:00,0.9751182872416979,0.9802741959728722,0.9758515679923212,0.9729979332579128,0.971604552208394,0.9698451282661448,0.9647275222246998,0.955604072919601,0.9374059702785786,0.897249480750103
2022-03-29 14:00:00,0.9746054156581517,0.9798675999942759,0.9753538110780668,0.9724413561097254,0.9710192541456824,0.9692235642698072,0.9640004721334162,0.9546889667271172,0.9361157576852734,0.8951315469072928
2022-03-29 15:00:00,0.9743564625717244,0.979670234168116,0.9751121948059439,0.9721711878974058,0.9707351445091441,0.9689218507799888,0.9636475546195215,0.9542447648677503,0.9354894753612852,0.8941034802646238
2022-03-29 16:00:00,0.9748025228974817,0.9800238633035231,0.9755451094349531,0.9726552603085012,0.9712441963905394,0.9694624442688469,0.9642798926373884,0.9550406611104306,0.9366116132767585,0.8959455130271415
2022-03-29 17:00:00,0.9757030648693948,0.9807377978557269,0.9764191118314139,0.97363254409382,0.9722719107121379,0.9705538372898089,0.9655565067916706,0.956647479584153,0.9388770743204926,0.8996643548978454
2022-03-29 18:00:00,0.977426061889911,0.9821037609586764,0.9780913309749889,0.9755023703793466,0.9742382251864031,0.9726419875170935,0.9679990385700662,0.9597217876442786,0.9432115559439944,0.906779574024591
2022-03-29 19:00:00,0.9778288821869404,0.9824231101254535,0.9784822798878962,0.9759395179604281,0.9746979307872519,0.9731301771568789,0.9685700792420823,0.9604405315951933,0.9442249164746612,0.9084430445053505
2022-03-29 20:00:00,0.9775090637841463,0.982169563466545,0.9781718867477736,0.9755924454762515,0.974332948406515,0.9727425799280198,0.9681167025949733,0.959869886212886,0.9434203608235123,0.9071223353053053
2022-03-29 21:00:00,0.9746437899825943,0.97989802251426,0.9753910544854497,0.9724830005929588,0.9710630475990041,0.9692700712302676,0.9640548718252377,0.9547574372430443,0.936212294592842,0.8952900159725311
2022-03-29 22:00:00,0.9668533142332054,0.9737218641684378,0.9678301692775446,0.9640286410325453,0.9621724197888372,0.9598285669716772,0.9530110427529143,0.9408570519821428,0.9166140749952559,0.8631187809683669
2022-03-29 23:00:00,0.9613531969318109,0.969361463537363,0.9624921441191814,0.9580598182306661,0.9558955892829731,0.9531628147641902,0.9452140407072955,0.9310433060789441,0.902777627754705,0.8404057179994577
2022-03-30 00:00:00,0.965882254835295,0.9729520245851282,0.9668877276508913,0.9629748305120392,0.9610642297416423,0.9586517118301366,0.9516344626370675,0.9391244107190938,0.9141712157996491,0.8591087331743504
2022-03-30 01:00:00,0.9682575957437428,0.9748351549673816,0.969193065670822,0.9655525917123295,0.9637750105230252,0.9615304565979993,0.9550017613522266,0.9433626825288731,0.9201467754753905,0.8689178453568347
2022-03-30 02:00:00,0.9706646860167715,0.9767434557126962,0.9715292173802811,0.9681648078743726,0.9665220242371299,0.9644476793446839,0.9584140681730349,0.9476576040752873,0.9262022058854948,0.8788580684370384
2022-03-30 03:00:00,0.9754408497539977,0.9805299181157139,0.9761646243712032,0.9733479836973749,0.9719726662151149,0.9702360511611655,0.9651847889392849,0.9561796145599228,0.9382174291872974,0.8985815219142825
2022-03-30 04:00:00,0.9807045438210094,0.9847028863769114,0.9812731938463508,0.9790602358999471,0.9779796863717537,0.9766152751711377,0.9726466358707306,0.9655715153604257,0.9514591150019152,0.9203182610130648
2022-03-30 05:00:00,0.9856470938508077,0.9886212570384948,0.9860700836142914,0.9844239770168518,0.9836202113103639,0.9826052953773231,0.9796532269270959,0.9743904054764583,0.9638929103145621,0.9407288166252752
2022-03-30 06:00:00,0.9867370627192703,0.9894853660531683,0.9871279303697071,0.9856068301595964,0.9848641029346886,0.9839262603664161,0.9811983738814908,0.976335214456219,0.9666349057877319,0.9452299081814982
2022-03-30 07:00:00,0.9859864433456917,0.9888902876192194,0.9863994322521304,0.9847922449813108,0.9840074829165709,0.9830165629050283,0.9801342909773335,0.9749958997837027,0.9647465996314938,0.9421301806368783
2022-03-30 08:00:00,0.984476637540903,0.9876933389319009,0.9849341214362752,0.9831537775050356,0.9822844660036358,0.9811867853158128,0.9779939804524215,0.9723019844143677,0.9609484354803144,0.9358953473713588
2022-03-30 09:00:00,0.982890679860432,0.9864360183163878,0.983394902991551,0.9814326686909363,0.9804745432321224,0.9792647170524869,0.9757457165334389,0.9694721928233007,0.9569586987948768,0.9293460403859553
2022-03-30 10:00:00,0.9813785544365279,0.9852372306739889,0.9819273409173105,0.9797916839237183,0.9787488791290954,0.9774321282493662,0.9736021177013879,0.9667741386054026,0.9531546992613322,0.9231016281147268
2022-03-30 11:00:00,0.9796979569806314,0.9839048812338388,0.9802962717947699,0.9779678703819614,0.976830951782969,0.9753953632882447,0.9712196918214592,0.9637754832142627,0.9489268806973139,0.9161615005229964
2022-03-30 12:00:00,0.9785522504049214,0.9829965843008832,0.9791843299596945,0.9767245297114584,0.9755234513077768,0.9740068481498066,0.9695955307308902,0.9617312225926226,0.9460446678790627,0.9114302367749672
2022-03-30 13:00:00,0.9773601379114484,0.9820514975356365,0.9780273498203537,0.9754308285331866,0.974162991583844,0.9725620923292487,0.9679055843095911,0.9596041608486836,0.9430457133628454,0.9065073370172815
