,district elec,district heat,heat,district biomethane
0,0.0,7.993605777301127e-13,-3.0944136142352363e-12,0.0
1,0.0,-1.48858703141741e-11,-8.686384944667225e-12,0.0
2,0.0,-1.390532133882516e-11,-8.007816632016329e-12,0.0
3,0.0,-3.539213366821059e-11,2.0534685063466895e-12,0.0
4,0.0,-3.5857539160133456e-11,-1.3379519714362686e-11,0.0
5,0.0,-5.8619775700208265e-12,-9.563905223330949e-12,0.0
6,0.0,-5.6417093219351955e-12,-1.482192146795569e-11,0.0
7,0.0,1.5987211554602254e-11,1.2427392448444152e-11,0.0
8,0.0,2.943068011518335e-11,-1.482902689531329e-11,0.0
9,0.0,2.078337502098293e-12,-1.2235545909788925e-11,0.0
10,0.0,-2.7533531010703882e-12,-7.926104217403918e-12,0.0
11,0.0,2.901145990108489e-11,3.4923175462608924e-12,0.0
12,0.0,3.5633718198369024e-12,-5.467626351673971e-12,0.0
13,0.0,1.5266010677805752e-11,1.0363265801061061e-11,0.0
14,0.0,2.467359649926948e-11,-1.1326051208015997e-11,0.0
15,0.0,4.2305714487156365e-11,-8.480327551296796e-12,0.0
16,-1.7763568394002505e-15,2.0097701280974434e-11,2.7569058147491887e-12,0.0
17,-1.7763568394002505e-15,2.086153472191654e-11,2.5792701308091637e-12,0.0
18,-1.7763568394002505e-15,3.156941374982125e-11,5.9330318435968366e-12,0.0
19,0.0,1.2221335055073723e-12,-6.004086117172847e-13,0.0
20,-1.7763568394002505e-15,-3.580069574127265e-11,-9.464429240324534e-12,0.0
21,3.3306690738754696e-16,-4.113742679834331e-11,7.780442956573097e-12,0.0
22,0.0,2.2513546582558774e-11,-4.416023102749023e-12,0.0
23,0.0,-1.680788841440517e-11,7.222666909001418e-12,0.0
24,4.996003610813204e-16,-1.5229484340295585e-12,1.1510792319313623e-12,0.0
25,0.0,2.064126647383091e-12,-1.0683010032153106e-11,0.0
26,0.0,3.958833261208383e-11,-2.3874235921539366e-12,0.0
27,2.220446049250313e-16,-2.4871216197652757e-11,-4.54036808150704e-12,0.0
28,-4.440892098500626e-16,-2.8554936193359026e-12,1.382716163789155e-11,0.0
29,4.440892098500626e-16,2.6494362259654736e-11,-1.532640681034536e-11,0.0
30,0.0,5.268052660767353e-11,1.461586407458526e-11,0.0
31,4.440892098500626e-16,-3.667643966309697e-11,5.144329406903125e-12,0.0
32,8.881784197001252e-16,5.155742499596272e-11,-5.6274984672199935e-12,0.0
33,-8.881784197001252e-16,4.172173717620353e-11,3.4141578453272814e-12,0.0
34,8.326672684688674e-17,-4.8721318646194334e-11,-7.347011887759436e-12,0.0
35,0.0,3.1537439326712047e-11,7.155165349104209e-12,0.0
36,0.0,1.9326762412674725e-11,1.2999379350731033e-11,0.0
37,0.0,3.363709311088314e-11,-6.327383061943692e-12,0.0
38,0.0,-4.362377126199135e-11,1.2501999435698963e-11,0.0
39,0.0,-5.595524044110789e-12,-3.637978807091713e-12,0.0
40,-1.7763568394002505e-15,1.6513013179064728e-11,-9.876544027065393e-12,0.0
41,0.0,1.297806306865823e-11,7.350564601438236e-12,0.0
42,0.0,4.285283239369164e-11,6.703970711896545e-12,0.0
43,0.0,-9.457323812966933e-12,9.528378086542943e-12,0.0
44,0.0,3.417355287638202e-11,1.0757617019407917e-11,0.0
45,0.0,2.3028690065984847e-11,-7.961631354191923e-12,0.0
46,0.0,2.8276048169573187e-11,7.851497230149107e-12,0.0
47,0.0,2.035349666584807e-11,-7.343459174080635e-12,0.0
48,0.0,-2.659561459950055e-11,-4.732214620162267e-12,0.0
49,0.0,9.805489753489383e-12,1.872280108727864e-12,0.0
50,0.0,-5.25091081726714e-12,2.8670399387920042e-12,0.0
51,0.0,-6.050271394997253e-12,-9.276135415348108e-12,0.0
52,0.0,3.963407380069839e-11,8.775202786637237e-12,0.0
53,-8.881784197001252e-16,1.6173951067344206e-11,5.5777604757167865e-12,0.0
54,0.0,2.015099198615644e-11,1.9966250874858815e-12,0.0
55,0.0,1.6861179119587177e-11,8.199663170671556e-12,0.0
56,-4.440892098500626e-16,7.429168391581698e-12,-1.2860823517257813e-12,0.0
57,-5.551115123125783e-17,-3.7906566774381645e-11,3.5349501104064984e-12,0.0
58,8.881784197001252e-16,3.4507507962189266e-11,-6.572520305780927e-12,0.0
