,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,selling,heating_grid_92MW
0,0.0,0.0,8.572965972917176,11.547578776065823,0.0,0.0,15.231075806698504
1,0.0,0.0,8.572965972917176,11.25835529521704,0.0,0.0,15.46817013481354
2,0.0,0.0,8.572965972917176,9.430756841388664,0.0,0.0,17.042664190776424
3,0.0,0.0,8.572965972917176,6.737230583073252,0.0,0.0,19.622096059563326
4,0.0,0.0,8.572965972917176,2.775880094636552,0.0,0.0,23.486930835393522
5,0.0,0.0,8.572965972917176,0.0,3.0312596078705845,0.0,29.453264845858033
6,0.0,0.0,8.572965972917176,0.0,5.470004750902781,0.0,31.954867844445225
7,0.0,0.0,8.572965972917176,0.0,4.671730343684061,0.0,30.906235190632
8,0.0,0.0,8.859950247133453,0.0,2.4860090776659547,0.0,28.570395574097294
9,0.0,0.0,10.037315775705492,3.3615674382951077,0.0,0.0,26.513677339649576
10,0.0,0.0,11.55848162876788,9.98542354279066,0.0,0.0,25.248207009803814
11,0.0,0.0,13.546237645594648,25.600467014713445,0.0,0.0,23.861827058404813
12,0.0,0.0,13.629276870809514,31.824467160079116,0.0,0.0,21.53582949236892
13,0.0,0.0,13.629276870809514,32.744564685726104,0.0,0.0,21.155970113151476
14,0.0,0.0,12.225306036438711,24.473755372151007,0.0,0.0,21.54119547034575
15,0.0,0.0,10.572382286466393,15.276786225637721,0.0,0.0,22.157332961911305
16,0.0,0.0,8.572965972917176,4.27512550272078,0.0,0.0,23.049418723479903
17,0.0,0.0,8.572965972917176,1.9977670541320798,0.0,0.0,24.090136008778405
18,0.0,0.0,8.572965972917176,1.5408157222422254,0.0,0.0,23.720280075669397
19,0.0,0.0,8.572965972917176,0.7136658354122503,0.0,0.0,24.108764241244256
20,0.0,0.0,8.572965972917176,1.2179596106535229,0.0,0.0,23.263242463127465
21,0.0,0.0,8.572965972917176,3.099710471084972,0.0,0.0,21.1794610606879
22,0.0,0.0,8.572965972917176,7.088022456221076,0.0,0.0,17.15509966550558
23,0.0,0.0,8.572965972917176,8.684963579481506,0.0,0.0,15.52217346073507
24,0.0,0.0,8.572965972917176,4.00781658402407,0.0,0.0,19.848024390454913
25,0.0,0.0,8.572965972917176,5.0109121044649285,0.0,0.0,18.729194317953006
26,0.0,0.0,8.177566122485707,1.4697915364334477,0.0,0.0,21.07038571271432
27,0.0,0.0,0.0,0.0,25.10744284119459,0.0,25.107442841194594
28,0.0,0.0,0.0,0.0,30.85469972522549,0.0,30.85469972522549
29,0.0,0.0,0.0,0.0,29.8088313155748,0.0,29.808831315574803
30,0.0,0.0,0.0,0.0,31.596112264080002,0.0,31.596112264080002
31,0.0,0.0,0.0,0.0,29.727677432645077,0.0,29.72767743264508
32,0.0,0.0,0.7367536368015302,0.0,26.412219110781546,0.0,28.348375187333087
33,0.0,0.0,1.384934107957981,0.0,22.74798387385112,0.0,26.44360236453655
34,0.0,0.0,9.1240510162327,0.0,0.0,0.0,25.502429917279503
35,0.0,0.0,12.628367904126012,15.642346779062414,0.0,-1.7763568394002505e-15,24.173320345374332
36,0.0,0.0,13.629276870809514,26.791103081997093,0.0,0.0,23.29068606603723
37,0.0,0.0,11.994100996369035,17.73619930296584,0.0,1.7763568394002505e-15,23.745531868370787
38,0.0,0.0,9.40120443367731,8.144389522383591,0.0,0.0,23.25413223668194
39,0.0,6.368139998824936,11.88429569228456,19.17461626994229,0.0,0.0,24.645606737641383
40,0.0,11.758862553237996,13.629276870809514,26.986719537772196,0.0,0.0,26.005943060837826
41,0.0,0.0,8.572965972917176,2.0471350503131305,0.0,0.0,26.65443580952105
42,0.0,0.0,8.572965972917176,1.486927072470742,0.0,0.0,26.94514299891123
43,0.0,0.0,8.572965972917176,0.050102231054218294,0.0,0.0,27.87641890364445
44,0.0,0.0,8.572965972917176,0.7203219753292984,0.0,0.0,26.813123073507576
45,0.0,0.0,8.572965972917176,2.5289152227072655,0.0,0.0,24.801571099640345
46,0.0,0.0,8.572965972917176,7.475335001264106,0.0,0.0,20.232655145607925
47,0.0,0.0,8.572965972917176,10.120732585109863,0.0,0.0,17.9894820429894
48,0.0,0.0,8.572965972917176,12.356102217390127,0.0,0.0,15.466966513850245
49,0.0,0.0,8.572965972917176,11.693113022271895,0.0,0.0,16.111747260337243
50,0.0,0.0,8.572965972917176,10.294687157053549,0.0,0.0,17.377081322481146
51,0.0,0.0,8.572965972917176,7.714867443206344,0.0,0.0,19.830572681266396
52,0.0,0.0,8.572965972917176,4.035293806353497,0.0,0.0,23.277370886188766
53,0.0,0.0,8.572965972917176,0.0,1.176637735913129,0.0,28.34133086671672
54,0.0,0.0,8.572965972917176,0.0,4.005654621823947,0.0,31.282717948611243
55,0.0,0.0,8.572965972917176,0.0,3.099780824483741,0.0,30.2880845214304
56,0.0,0.0,8.948381553827758,0.034604531396830396,0.0,0.0,28.25814888000316
57,0.0,0.0,9.588995544498403,3.8174756063362913,0.0,-1.7763568394002505e-15,26.46786770808327
58,0.0,0.0,9.798676871166315,6.6152355938783,0.0,0.0,24.480545764352506
59,0.0,0.0,10.830941456210201,11.317100040350226,0.0,-1.7763568394002505e-15,23.58965028989213
60,0.0,0.0,11.064077867717327,13.240174845993717,0.0,0.0,22.628499056346516
61,0.0,0.0,9.962564012026338,10.020978438461743,0.0,-1.7763568394002505e-15,22.283741467391113
62,0.0,0.0,9.845294883742156,9.491537531551945,0.0,0.0,22.245514591735706
63,0.0,0.0,7.120545915096017,0.0,0.0,8.881784197001252e-16,22.93361893249427
