,heat demand
132,72.8165707
133,71.7822429
134,72.4571839
135,73.3656285
136,73.8637379
137,73.4848105
138,72.6177636
139,71.9621832
140,67.9999714
141,60.0095643
142,51.598976
143,48.7705622
144,56.9380476
145,58.9747913
146,61.2355283
147,66.5396421
148,80.3674932
149,100.280373
150,110.016224
151,105.912009
152,100.813955
153,96.2990072
154,91.0930786
155,86.5460284
156,84.1130355
157,82.7741262
158,83.4114104
159,84.463461
160,85.1920218
161,85.3408359
162,84.775246
163,83.2952672
164,79.1531298
165,70.0634899
166,59.4505467
167,55.7418816
168,55.5720377
169,58.1163401
170,61.2757692
171,66.719004
172,80.8706872
173,101.091404
174,106.605159
175,102.371823
176,96.2619749
177,92.4130152
178,89.2802006
179,83.1775469
180,79.1446747
181,77.9843257
182,78.7628645
183,81.0598433
184,83.8074248
185,84.5872862
186,83.0968523
187,81.396618
188,80.4106877
189,71.3436034
190,60.9908893
191,57.8436613
192,56.3247272
193,56.1027193
194,62.3903018
195,74.0002632
196,87.8053433
197,86.5336759
198,91.4483027
199,88.6334317
200,84.2966596
201,80.6523091
202,78.8732025
203,75.0654416
204,73.2180871
205,74.3571925
206,75.882827
207,75.5560897
208,80.3914616
209,82.04559
210,81.1569328
211,81.1244863
212,78.7469003
213,69.506012
214,62.0980114
215,55.972793
216,56.0766119
217,57.796585
218,62.0292211
219,67.5416875
220,81.4550414
221,97.7296147
222,105.673671
223,102.080453
224,97.6371728
225,93.476292
226,88.4913467
227,84.0128698
228,82.6162885
229,81.4390373
230,82.0626839
231,82.6651213
232,85.0785627
233,85.4939951
234,84.5010246
235,81.7517393
236,78.243838
237,69.0182795
238,59.1977255
239,55.4483778
240,58.0873529
241,59.8460906
242,63.4447124
243,69.0830306
244,83.0214454
245,99.9527468
246,109.392877
247,105.718563
248,100.881314
249,96.0400018
250,90.7946789
251,86.7992956
252,84.6392966
253,83.4350576
254,84.2191265
255,85.2739341
256,85.8393358
257,85.3850751
258,84.368448
259,83.6039767
260,78.9917489
261,69.7025768
262,59.9543235
263,56.7103303
264,65.9743254
265,67.3543679
266,71.0619261
267,74.523023
268,91.1649841
269,108.720115
270,119.034951
271,117.932122
272,111.140624
273,105.552314
274,101.967495
275,97.3723847
276,94.2727505
277,92.9708
278,93.6737429
279,92.8812938
280,95.1919063
281,94.1415996
282,93.6548133
283,90.4621546
284,84.88011
285,76.6365445
286,68.0424455
287,64.6510616
288,69.1019309
289,70.5476835
290,74.4364442
291,78.0600545
292,95.5052759
293,113.865149
294,124.636864
295,123.502969
296,116.380155
297,110.521404
298,106.7658
299,101.953932
300,98.7038301
301,97.3409142
302,98.0741953
303,97.2389427
304,99.6494426
305,98.5404207
306,98.0273907
307,94.6784547
308,88.8279306
309,80.2022389
310,71.2273984
311,67.7039026
312,65.285361
313,67.170545
314,70.1009655
315,73.4405299
316,89.7748921
317,110.654438
318,120.644922
319,119.670657
320,113.294399
321,107.808103
322,104.019172
323,99.3676886
324,95.9083758
325,94.9171746
326,95.3062938
327,94.6727846
328,96.041504
329,96.455058
330,95.1490047
331,91.596215
332,86.1147408
333,78.0908839
334,69.2034932
335,65.0988877
336,63.6363047
337,63.8881592
338,66.5958886
339,71.0678297
340,87.0983486
341,104.895282
342,113.199217
343,106.438276
344,102.777207
345,98.89068
346,96.2642419
347,91.9098021
348,88.8641962
349,87.6313364
350,85.7900838
351,87.0300298
