time,NREL_ReferenceTurbine_2020ATB_4MW,NREL_ReferenceTurbine_2020ATB_5.5MW,Siemens_SWT_107_3600kW,oedb:E-141/4200,total,mean
2022-03-27 20:00:00,0.026276741902033485,0.027611446467312898,0.0,0.03962380659012567,0.09351199495947204,0.03740479798378882
2022-03-27 21:00:00,0.0,0.0009463613683527159,0.0,0.026865283194042383,0.0278116445623951,0.011124657824958039
2022-03-27 22:00:00,0.0,0.0,0.0,0.01286692937215169,0.01286692937215169,0.005146771748860676
2022-03-27 23:00:00,0.0,0.0,0.0,0.00413918966338748,0.00413918966338748,0.001655675865354992
2022-03-28 00:00:00,0.0,0.0,0.0,0.002687643085207258,0.002687643085207258,0.0010750572340829032
2022-03-28 01:00:00,0.0,0.0,0.0,0.0035875747885022844,0.0035875747885022844,0.0014350299154009137
2022-03-28 02:00:00,0.0,0.0,0.0,0.003478283371244158,0.003478283371244158,0.0013913133484976632
2022-03-28 03:00:00,0.0,0.0,0.0,0.0028351264908200217,0.0028351264908200217,0.0011340505963280086
2022-03-28 04:00:00,0.0,0.0,0.0,0.002347598075866699,0.002347598075866699,0.0009390392303466796
2022-03-28 05:00:00,0.0,0.0,0.0,0.0038429764906565346,0.0038429764906565346,0.0015371905962626138
2022-03-28 06:00:00,0.0,0.0,0.0,0.0077539472352890736,0.0077539472352890736,0.0031015788941156294
2022-03-28 07:00:00,0.0,0.0,0.0,0.024596118018740697,0.024596118018740697,0.009838447207496279
2022-03-28 08:00:00,0.0,0.0,0.0,0.017167088190714518,0.017167088190714518,0.006866835276285807
2022-03-28 09:00:00,0.0,0.0,0.0,0.009535274959745859,0.009535274959745859,0.0038141099838983434
2022-03-28 10:00:00,0.0,0.0,0.0,0.008038702351706367,0.008038702351706367,0.0032154809406825468
2022-03-28 11:00:00,0.0,0.0,0.0,0.018740111873263403,0.018740111873263403,0.007496044749305361
2022-03-28 12:00:00,0.030757778962453207,0.03206328574093906,0.0,0.04505972226460775,0.10788078696800002,0.04315231478720001
2022-03-28 13:00:00,0.06217750549316406,0.06633265928788618,0.0,0.0759555831409636,0.20446574792201383,0.08178629916880553
2022-03-28 14:00:00,0.07981083130836486,0.082991173137318,0.055387090577019585,0.09521753197624569,0.31340662699894817,0.12536265079957926
2022-03-28 15:00:00,0.09682403500874837,0.10058859530362216,0.0706119606229994,0.11469951243627638,0.3827241033716463,0.15308964134865852
2022-03-28 16:00:00,0.08182135796546935,0.08504625632546164,0.0573254574669732,0.0976973591532026,0.3218904309111068,0.12875617236444273
2022-03-28 17:00:00,0.07620596742630005,0.07930598744479092,0.051912490791744655,0.09077028944378808,0.2981947351066237,0.11927789404264948
2022-03-28 18:00:00,0.07829036927223205,0.08143669874017889,0.05392182694541084,0.0933414854322161,0.3069903803900379,0.12279615215601516
2022-03-28 19:00:00,0.08282231545448303,0.08617056551846591,0.058290538787841795,0.0989318831761678,0.32621530293695855,0.13048612117478342
2022-03-28 20:00:00,0.16063336555163066,0.16633539673776337,0.11112391736772324,0.1792351109640939,0.6173277906212111,0.24693111624848446
2022-03-28 21:00:00,0.2781652660369873,0.28777366152676664,0.19228458099895054,0.3015546299162365,1.0597781384789409,0.42391125539157637
2022-03-28 22:00:00,0.21634753584861757,0.22938886919888582,0.15301321347554525,0.2389205034573873,0.8376701219804359,0.33506804879217433
2022-03-28 23:00:00,0.2355250811576843,0.24939143068140202,0.16268977483113606,0.25627573921566915,0.9038820258858915,0.3615528103543566
2022-03-29 00:00:00,0.19280536794662478,0.20346094538948753,0.13969986332787407,0.21616189956665038,0.7521280762306368,0.3008512304922547
2022-03-29 01:00:00,0.155935955286026,0.1615770965344978,0.1066355890697903,0.17343437490009125,0.5975830157904054,0.23903320631616215
2022-03-29 02:00:00,0.10517682230472566,0.11229337709600276,0.07726797156863742,0.12321550369262696,0.4179536746619928,0.16718146986479712
2022-03-29 03:00:00,0.10371942853927613,0.11081175691431219,0.07651058859295315,0.12224633739108132,0.4132881114376228,0.16531524457504912
2022-03-29 04:00:00,0.13130588984489439,0.13939170507951215,0.09029130962159898,0.14770457812717983,0.5086934826731854,0.20347739306927415
2022-03-29 05:00:00,0.1636367621421814,0.16958866073146012,0.11399410618676079,0.18294344799859183,0.6301629770589942,0.2520651908235977
2022-03-29 06:00:00,0.17355313324928284,0.18008076881639884,0.12305536376105414,0.1946529137520563,0.6713421795787922,0.26853687183151687
2022-03-29 07:00:00,0.1747483792304993,0.18127728155887488,0.12408870697021485,0.19598823059172857,0.6761025983513176,0.27044103934052705
2022-03-29 08:00:00,0.1056096992492676,0.1127273851741444,0.07748983860015868,0.12349940390813918,0.41932632693170985,0.16773053077268393
2022-03-29 09:00:00,0.13022998070716857,0.1383114339655096,0.08979057364993624,0.14673745825177148,0.5050694465743859,0.20202777862975435
2022-03-29 10:00:00,0.20630354285240177,0.21859269202839243,0.14768113242255318,0.22935742968604678,0.8019347969893942,0.3207739187957577
2022-03-29 11:00:00,0.28424738359451296,0.29442599764737215,0.1979576371775733,0.3089441783087594,1.085575196728218,0.43423007869128716
2022-03-29 12:00:00,0.4195860442320506,0.43397184140754475,0.28425536606046886,0.43801877975463865,1.575832031454703,0.6303328125818812
2022-03-29 13:00:00,0.3557896775007248,0.37674371233853426,0.2495407576031155,0.38220745177496046,1.3642815992173352,0.5457126396869341
