time,south45-60deg-eta_c,south45-60deg-heat,south45-60deg-ira,south45-70deg-eta_c,south45-70deg-heat,south45-70deg-ira,south45-80deg-eta_c,south45-80deg-heat,south45-80deg-ira,south45-90deg-eta_c,south45-90deg-heat,south45-90deg-ira
2022-09-10 09:00:00,0.3479463155253101,128.57868782036027,369.5359947302195,0.22353414446146289,82.60391242973527,369.5359947302195,0.09046246513418885,33.42913703911027,369.5359947302195,0.0,0.0,369.5359947302195
2022-09-10 10:00:00,0.5423471006407573,342.91345818501867,632.2767426614482,0.4701080706212605,297.23839959126866,632.2767426614482,0.39280796562606524,248.36334099751866,632.2767426614482,0.3104467856551715,196.28828240376862,632.2767426614482
2022-09-10 11:00:00,0.5817455056975745,424.0922908067571,728.9996856928451,0.5194707714147974,378.6940290880071,728.9996856928451,0.45280646047951634,330.0957673692571,728.9996856928451,0.38175257289173137,278.2975056505071,728.9996856928451
2022-09-10 12:00:00,0.5883026364343393,442.26557339107546,751.765411203349,0.527909949918174,396.86444057857545,751.765411203349,0.4632606163784674,348.26330776607546,751.765411203349,0.3943546358152195,296.4621749535754,751.765411203349
2022-09-10 13:00:00,0.5227196013759494,300.03116851778697,573.981093741306,0.4436200611296595,254.62952789278702,573.981093741306,0.3589454243603431,206.02788726778698,573.981093741306,0.2686956910680004,154.22624664278695,573.981093741306
2022-09-10 14:00:00,0.4658721672044489,219.3017124202762,470.733664421801,0.36971392466490455,174.0367905452762,470.733664421801,0.26675778292703,125.57186867027617,470.733664421801,0.15700374199082534,73.9069467952762,470.733664421801
2022-09-10 15:00:00,0.3545222376866036,124.79239929920315,352.0016124052539,0.22602850809559424,79.56239929920316,352.0016124052539,0.0884439110561826,31.13239929920314,352.0016124052539,0.0,0.0,352.0016124052539
2022-09-10 16:00:00,0.1893045006318016,48.028882599407,253.71231238090564,0.011572553845451361,2.936099396282007,253.71231238090564,0.0,0.0,253.71231238090564,0.0,0.0,253.71231238090564
2022-09-10 17:00:00,0.0,0.0,72.76085579052288,0.0,0.0,72.76085579052288,0.0,0.0,72.76085579052288,0.0,0.0,72.76085579052288
2022-09-10 18:00:00,0.0,0.0,3.6150050163269043,0.0,0.0,3.6150050163269043,0.0,0.0,3.6150050163269043,0.0,0.0,3.6150050163269043
2022-09-10 19:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-10 20:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-10 21:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-10 22:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-10 23:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 00:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 01:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 02:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 03:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
2022-09-11 04:00:00,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06,0.0,0.0,1.2712380339507945e-06
