time,x,y,lon,lat,temperature,T_supply
2022-01-04 00:00:00,11.75,48.25,11.75,48.25,9.273773,70.0
2022-01-04 01:00:00,11.75,48.25,11.75,48.25,9.149445,70.0
2022-01-04 02:00:00,11.75,48.25,11.75,48.25,9.18045,70.0
2022-01-04 03:00:00,11.75,48.25,11.75,48.25,9.009308,70.0
2022-01-04 04:00:00,11.75,48.25,11.75,48.25,8.68219,70.0
2022-01-04 05:00:00,11.75,48.25,11.75,48.25,8.00531,70.0
2022-01-04 06:00:00,11.75,48.25,11.75,48.25,7.736664,70.0
2022-01-04 07:00:00,11.75,48.25,11.75,48.25,7.4158325,70.0
2022-01-04 08:00:00,11.75,48.25,11.75,48.25,7.5830994,70.0
2022-01-04 09:00:00,11.75,48.25,11.75,48.25,8.18512,70.0
2022-01-04 10:00:00,11.75,48.25,11.75,48.25,10.066925,70.0
2022-01-04 11:00:00,11.75,48.25,11.75,48.25,11.70813,70.0
2022-01-04 12:00:00,11.75,48.25,11.75,48.25,13.818054,70.0
2022-01-04 13:00:00,11.75,48.25,11.75,48.25,15.028046,70.0
2022-01-04 14:00:00,11.75,48.25,11.75,48.25,14.622528,70.0
2022-01-04 15:00:00,11.75,48.25,11.75,48.25,14.609711,70.0
2022-01-04 16:00:00,11.75,48.25,11.75,48.25,14.104279,70.0
2022-01-04 17:00:00,11.75,48.25,11.75,48.25,13.128937,70.0
2022-01-04 18:00:00,11.75,48.25,11.75,48.25,11.89032,70.0
2022-01-04 19:00:00,11.75,48.25,11.75,48.25,10.739624,70.0
2022-01-04 20:00:00,11.75,48.25,11.75,48.25,9.330139,70.0
2022-01-04 21:00:00,11.75,48.25,11.75,48.25,7.518402,70.0
2022-01-04 22:00:00,11.75,48.25,11.75,48.25,7.19458,70.0
2022-01-04 23:00:00,11.75,48.25,11.75,48.25,6.1807556,70.0
2022-01-05 00:00:00,11.75,48.25,11.75,48.25,5.347351,70.0
2022-01-05 01:00:00,11.75,48.25,11.75,48.25,4.480835,70.0
2022-01-05 02:00:00,11.75,48.25,11.75,48.25,3.7693787,70.0
2022-01-05 03:00:00,11.75,48.25,11.75,48.25,3.4076843,70.0
