,pv panels,st panels,electricity grid,biomethane,dec air heat pump,dec ground heat pump
0,0.0,0.0,5.757478190897922,0.0,1.58890236465975,6.246834086833081
1,0.0,0.0,5.849325941139823,0.0,1.6122392928767275,6.33858416658012
2,0.0,0.0,6.515866327449486,0.0,1.787277390659918,7.026753546931321
3,0.0,0.0,7.532138274160312,0.0,2.0691613358270518,8.13499170955632
4,0.0,0.0,9.026656316740219,0.0,2.485908886615757,9.773451607266
5,0.0,0.0,11.190275076784308,0.0,3.1196467627754036,12.265017769519801
6,0.0,0.0,12.053462477335225,0.0,3.374422976114106,13.266680785069079
7,0.0,0.0,11.778630489785174,0.0,3.2638459090908976,12.83194256145864
8,0.3329056048670425,0.0,10.987858392455248,0.0,3.012178809230095,11.842503151642202
9,1.6986653995779473,0.0,8.695389497542156,0.0,2.7904213992494897,10.97065490061936
10,3.463238179043866,1.752681828850875,5.633289991664515,0.0,2.655482472719204,10.44013703832732
11,5.769061802714345,5.155657459104296,1.4353469231823652,0.0,2.505621704765271,9.85095335130192
12,6.336517349434219,6.060499611854256,0.0,0.0,2.2467448551261437,8.83316851783044
13,5.889572698091538,5.552680805092977,3.7100327544594247,0.0,2.2053690754607387,8.67049796202288
14,4.236763430146891,3.2124679149786113,6.0568409410228226,0.0,2.2467602432687843,8.83322901693732
15,2.3193497241647205,0.43660100498415455,9.056604089360972,0.0,2.312364349808746,9.09115422246612
16,0.0,0.0,8.405859907848766,0.0,2.406094437773724,9.459657864656162
17,0.0,0.0,9.193605467459026,0.0,2.5159393531681293,9.89151760444452
18,0.0,0.0,9.331994147231589,0.0,2.4715347415847857,9.716939073113041
19,0.0,0.0,9.652296789402612,0.0,2.5132524012350457,9.880953743946481
20,0.0,0.0,9.442578105767215,0.0,2.422096283840079,9.52256977144344
21,0.0,0.0,8.679886898910683,0.0,2.201144119165821,8.65388737500036
22,0.0,0.0,7.078987401419504,0.0,1.7777449424828615,6.989276340321361
23,0.0,0.0,6.468881808933658,0.0,1.6150656492336033,6.3496961012240405
24,0.0,0.0,8.69816329265511,0.0,2.166106938177268,8.51613727696164
25,0.0,0.0,8.223877805089252,0.0,2.033383701711692,7.994330490019441
26,0.0,0.0,9.313280141517321,0.0,2.3021073428364263,9.050828383567081
27,0.0,0.0,11.3053581136069,0.0,2.7599319206001884,10.85078427876588
28,0.0,0.0,14.121260976224214,0.0,3.404649641485149,13.38551814586032
29,0.0,0.0,13.514310542821116,0.0,3.2459400840860884,12.761545084256282
30,0.0,0.0,14.376588306090166,0.0,3.4233528152494235,13.45905043204812
31,0.0,0.0,13.47262283758194,0.0,3.2156348581973537,12.6423988596036
32,0.8546440942355157,0.0,12.054778677785972,0.0,3.0674419826776758,12.0597725593272
33,1.606542129076006,0.0,10.25719116649104,0.0,2.857229526713312,11.23331376324108
34,2.695242490311169,0.10662116793854816,8.20308546916825,0.0,2.756234818092962,10.83624897031752
35,4.7043205993601385,3.1459967196002347,4.111679342953161,0.0,2.608901856281118,10.25700345565848
36,5.946129158357217,5.275763395277967,1.282871942772883,0.0,2.5084298383216512,9.86199364226664
37,3.9685624845623315,2.396054427883036,3.984797216821319,0.0,2.5621222063665074,10.0730873648046
38,0.9607677163024942,0.0,11.203245437719088,0.0,2.503545419124353,9.84279035009796
39,0.6647219240177439,0.0,11.877670931698875,0.0,2.660171705475638,10.458572947087681
40,0.0,0.0,12.984403951239708,0.0,2.8100568717346786,11.04785255703912
41,0.0,0.0,13.338867227370741,0.0,2.8773195568330867,11.312298531436442
42,0.0,0.0,13.562718755334615,0.0,2.9072694381121558,11.430047704344721
43,0.0,0.0,10.233005825121369,0.0,3.0126331643891193,11.844289467376921
44,0.0,0.0,9.980420242194313,0.0,2.8939403706896107,11.37764393519388
45,0.0,0.0,9.316839878445458,0.0,2.6759151927260767,10.52046910571208
46,0.0,0.0,7.534864495516862,0.0,2.1798900570454967,8.57032616778588
47,0.0,0.0,6.652624021098152,0.0,1.9443298880672404,7.64421180997344
48,0.0,0.0,5.7588440425173815,0.0,1.6544390468378778,6.504494210748841
49,0.0,0.0,5.997332023032577,0.0,1.7251077758244842,6.782331184829521
50,0.0,0.0,6.506014371774835,0.0,1.8688503397497815,7.3474609045839605
51,0.0,0.0,7.455933022584771,0.0,2.1431152307919024,8.425744446915001
52,0.0,0.0,8.803006198185761,0.0,2.5223386945133,9.91667687447736
53,0.0,0.0,10.711917957504546,0.0,3.06900681505135,12.065924761268281
54,0.0,0.0,11.726132651668955,0.0,3.3811277518431404,13.2930408827694
55,0.0,0.0,11.399482371348459,0.0,3.273857920634332,12.871305190892881
56,0.43548710597767326,0.0,10.237951006859522,0.0,3.050904993703432,11.99475671649408
57,1.1786079220324956,0.0,8.834281829769855,0.0,2.854118793430924,11.2210837891812
58,1.421841071564235,0.0,7.792553710730805,0.0,2.6332330407406945,10.352662494146761
59,2.619281826829741,0.24987880551588934,6.052053601454171,0.0,2.536334210245084,9.97170081218472
60,2.8897231891701085,0.6526896880802102,5.244441605655808,0.0,2.427509569202874,9.54385232239068
61,1.6119523517273402,0.0,6.594154422138629,0.0,2.3891508778728654,9.393043571736001
62,1.4759185910263781,0.0,6.758575725616,0.0,2.383151324523013,9.36945608442072
63,0.3232049017715005,0.0,8.171241713258645,0.0,2.458644337465283,9.66625992652872
64,0.0,0.0,8.712486549645808,0.0,2.5090703697590735,9.864511917590521
65,0.0,0.0,9.043655793202142,0.0,2.598077107835578,10.214445518131921
66,0.0,0.0,9.10635811294105,0.0,2.610778096067707,10.264379968473001
