,biomass boiler,biomethane boiler,biomethane CHP,biomethane CHP generator,biomethane CHP boiler,large scale heat pump,geothermal plant,elec boiler,selling,heating grid
146,1.14,1.06,0.43,0.43,0.43,2.478328972013418,25.0,0.99,0.0,0.9830620048223363
147,1.14,1.06,0.43,0.43,0.43,2.482430252374838,25.0,0.99,0.0,0.9844156705057412
148,1.14,1.06,0.43,0.43,0.43,2.466583084664669,25.0,0.99,0.0,0.9871051083661398
149,1.14,1.06,0.43,0.43,0.43,2.429243359368615,25.0,0.99,0.0,0.9896252068160398
150,1.14,1.06,0.43,0.43,0.43,2.3901279984747976,25.0,0.99,0.0,0.9905037918705574
151,1.14,1.06,0.43,0.43,0.43,2.4242497313310194,25.0,0.99,0.0,0.9901460318941734
152,1.14,1.06,0.43,0.43,0.43,2.4362552300108504,25.0,0.99,0.0,0.989648369914695
153,1.14,1.06,0.43,0.43,0.43,2.466583084664669,25.0,0.99,0.0,0.989159600408839
154,1.14,1.06,0.43,0.43,0.43,2.5051337000639933,25.0,0.99,0.0,0.9885350367497537
155,1.14,1.06,0.43,0.43,0.43,2.5566040070654283,25.0,0.99,0.0,0.9879283559765123
156,1.14,1.06,0.43,0.43,0.43,2.5672638098561964,25.0,0.99,0.0,0.9875749177962968
157,1.14,1.06,0.43,0.43,0.43,2.594689094128497,25.0,0.99,0.0,0.9873706186851792
158,1.14,1.06,0.43,0.43,0.43,2.6224673509508807,25.0,0.99,0.0,0.9874636928448545
159,1.14,1.06,0.43,0.43,0.43,2.627406436138015,25.0,0.99,0.0,0.9876162708391177
160,1.14,1.06,0.43,0.43,0.43,2.586047333805205,25.0,0.99,0.0,0.9877017849214103
161,1.14,1.06,0.43,0.43,0.43,2.5871256595498835,25.0,0.99,0.0,0.9877053491373005
162,1.14,1.06,0.43,0.43,0.43,2.623563960160223,25.0,0.99,0.0,0.9876146002878881
163,1.14,1.06,0.43,0.43,0.43,2.6472749448671964,25.0,0.99,0.0,0.9873865969768061
164,1.14,1.06,0.43,0.43,0.43,2.646166410673895,25.0,0.99,0.0,0.9867168989542946
165,1.14,1.06,0.43,0.43,0.43,2.6373181975479283,25.0,0.99,0.0,0.9849868983314838
166,1.14,1.06,0.43,0.43,0.43,2.6384222769260024,25.0,0.99,0.0,0.9823906914515664
167,1.14,1.06,0.43,0.43,0.43,2.6263078959028303,25.0,0.99,0.0,0.9813269868617205
168,1.14,1.06,0.43,0.43,0.43,2.632356708466381,25.0,0.99,0.0,0.9813050362186406
169,1.14,1.06,0.43,0.43,0.43,2.6213712927347026,25.0,0.99,0.0,0.9821273865212139
170,1.14,1.06,0.43,0.43,0.43,2.6039090331309755,25.0,0.99,0.0,0.9830645347713717
171,1.14,1.06,0.43,0.43,0.43,2.535443590020196,25.0,0.99,0.0,0.9844506602170485
172,1.14,1.06,0.43,0.43,0.43,2.4999519808663093,25.0,0.99,0.0,0.987181136155038
173,1.14,1.06,0.43,0.43,0.43,2.478328972013418,25.0,0.99,0.0,0.9897042678689236
174,1.14,1.06,0.43,0.43,0.43,2.505652581810641,25.0,0.99,0.0,0.9901809941310448
175,1.14,1.06,0.43,0.43,0.43,2.572078149463404,25.0,0.99,0.0,0.989785496907456
176,1.14,1.06,0.43,0.43,0.43,2.602279126653621,25.0,0.99,0.0,0.9891333104256976
177,1.14,1.06,0.43,0.43,0.43,2.635111704605855,25.0,0.99,0.0,0.9886788026913866
178,1.14,1.06,0.43,0.43,0.43,2.66229493696797,25.0,0.99,0.0,0.9882846573292039
179,1.14,1.06,0.43,0.43,0.43,2.645612352847254,25.0,0.99,0.0,0.9874115514727502
180,1.14,1.06,0.43,0.43,0.43,2.654494041036036,25.0,0.99,0.0,0.9867548758045789
181,1.14,1.06,0.43,0.43,0.43,2.6734869386793902,25.0,0.99,0.0,0.9865545244122804
182,1.14,1.06,0.43,0.43,0.43,2.658948325788878,25.0,0.99,0.0,0.9866845336177688
183,1.14,1.06,0.43,0.43,0.43,2.661178837569095,25.0,0.99,0.0,0.9870656132070692
184,1.14,1.06,0.43,0.43,0.43,2.642290933084316,25.0,0.99,0.0,0.9874790632436014
185,1.14,1.06,0.43,0.43,0.43,2.5699371042106387,25.0,0.99,0.0,0.9875790577262525
186,1.14,1.06,0.43,0.43,0.43,2.459466177481317,25.0,0.99,0.0,0.9873412127909243
187,1.14,1.06,0.43,0.43,0.43,2.462005092602277,25.0,0.99,0.0,0.9870664942169993
188,1.14,1.06,0.43,0.43,0.43,2.524942358819448,25.0,0.99,0.0,0.9869188870598672
189,1.14,1.06,0.43,0.43,0.43,2.5984807788265725,25.0,0.99,0.0,0.9852510761077365
190,1.14,1.06,0.43,0.43,0.43,2.6224673509508807,25.0,0.99,0.0,0.982835876796358
191,1.14,1.06,0.43,0.43,0.43,2.6345604281770494,25.0,0.99,0.0,0.9820134014587398
192,1.14,1.06,0.43,0.43,0.43,2.640079438045244,25.0,0.99,0.0,0.9815483810747592
193,1.14,1.06,0.43,0.43,0.43,2.6450584344792603,25.0,0.99,0.0,0.9814553588350929
194,1.14,1.06,0.43,0.43,0.43,2.6511592135252227,25.0,0.99,0.0,0.9833616816135919
195,1.14,1.06,0.43,0.43,0.43,2.6701234092050594,25.0,0.99,0.0,0.9860037304101932
196,1.14,1.06,0.43,0.43,0.43,2.640079438045244,25.0,0.99,0.0,0.9882061169022774
197,1.14,1.06,0.43,0.43,0.43,2.661736816941638,25.0,0.99,0.0,0.9879081593921226
198,1.14,1.06,0.43,0.43,0.43,2.721115450046336,25.0,0.99,0.0,0.988487004287385
199,1.14,1.06,0.43,0.43,0.43,2.7938941734375526,25.0,0.99,0.0,0.9881389728724295
200,1.14,1.06,0.43,0.43,0.43,2.7986311900241048,25.0,0.99,0.0,0.9875292782385693
201,1.14,1.06,0.43,0.43,0.43,2.783859978453628,25.0,0.99,0.0,0.98696171553003
202,1.14,1.06,0.43,0.43,0.43,2.757507268247715,25.0,0.99,0.0,0.9866775055122565
203,1.14,1.06,0.43,0.43,0.43,2.7091133377661936,25.0,0.99,0.0,0.9859969274260085
204,1.14,1.06,0.43,0.43,0.43,2.736063896170366,25.0,0.99,0.0,0.9856399909653504
205,1.14,1.06,0.43,0.43,0.43,2.7715245431076774,25.0,0.99,0.0,0.9858724678106623
206,1.14,1.06,0.43,0.43,0.43,2.7938941734375526,25.0,0.99,0.0,0.9861588474570743
207,1.14,1.06,0.43,0.43,0.43,2.756925066991864,25.0,0.99,0.0,0.9860859174685279
208,1.14,1.06,0.43,0.43,0.43,2.740105332403769,25.0,0.99,0.0,0.986925909566127
209,1.14,1.06,0.43,0.43,0.43,2.706834442347063,25.0,0.99,0.0,0.9871793522160769
210,1.14,1.06,0.43,0.43,0.43,2.689815985224707,25.0,0.99,0.0,0.9870275127860327
211,1.14,1.06,0.43,0.43,0.43,2.661736816941638,25.0,0.99,0.0,0.9870227845416657
212,1.14,1.06,0.43,0.43,0.43,2.640079438045244,25.0,0.99,0.0,0.9866324381638482
213,1.14,1.06,0.43,0.43,0.43,2.648384037387477,25.0,0.99,0.0,0.9848468281595978
214,1.14,1.06,0.43,0.43,0.43,2.638974524984627,25.0,0.99,0.0,0.9831477928044848
215,1.14,1.06,0.43,0.43,0.43,2.611531510195387,25.0,0.99,0.0,0.9813835521322243
216,1.14,1.06,0.43,0.43,0.43,2.5984807788265725,25.0,0.99,0.0,0.9815287295752299
217,1.14,1.06,0.43,0.43,0.43,2.6384222769260024,25.0,0.99,0.0,0.9820752639916634
218,1.14,1.06,0.43,0.43,0.43,2.6082614541140594,25.0,0.99,0.0,0.9833201723233541
219,1.14,1.06,0.43,0.43,0.43,2.6373181975479283,25.0,0.99,0.0,0.9846855481333441
220,1.14,1.06,0.43,0.43,0.43,2.6060841512920474,25.0,0.99,0.0,0.9873085075015458
221,1.14,1.06,0.43,0.43,0.43,2.6153528071084207,25.0,0.99,0.0,0.9893705402426096
222,1.14,1.06,0.43,0.43,0.43,2.6017360970705727,25.0,0.99,0.0,0.990123969736118
223,1.14,1.06,0.43,0.43,0.43,2.6137142858934954,25.0,0.99,0.0,0.989788179120123
224,1.14,1.06,0.43,0.43,0.43,2.6039090331309755,25.0,0.99,0.0,0.9893257721826053
225,1.14,1.06,0.43,0.43,0.43,2.61589925524059,25.0,0.99,0.0,0.988847896849669
226,1.14,1.06,0.43,0.43,0.43,2.636766366146843,25.0,0.99,0.0,0.988214772958037
227,1.14,1.06,0.43,0.43,0.43,2.6567200611592625,25.0,0.99,0.0,0.9875817886578845
228,1.14,1.06,0.43,0.43,0.43,2.676855563111025,25.0,0.99,0.0,0.9873724676705878
229,1.14,1.06,0.43,0.43,0.43,2.697741875391491,25.0,0.99,0.0,0.9871873221262544
230,1.14,1.06,0.43,0.43,0.43,2.7000115703571472,25.0,0.99,0.0,0.9872812602679099
231,1.14,1.06,0.43,0.43,0.43,2.714249291278599,25.0,0.99,0.0,0.9873681207150292
232,1.14,1.06,0.43,0.43,0.43,2.723982511188111,25.0,0.99,0.0,0.9877150115630671
233,1.14,1.06,0.43,0.43,0.43,2.6943416320887987,25.0,0.99,0.0,0.9877587956189593
234,1.14,1.06,0.43,0.43,0.43,2.6723651965263846,25.0,0.99,0.0,0.9876041618847436
235,1.14,1.06,0.43,0.43,0.43,2.668443552263763,25.0,0.99,0.0,0.9871718434154451
236,1.14,1.06,0.43,0.43,0.43,2.6656466131760044,25.0,0.99,0.0,0.9865908403842418
237,1.14,1.06,0.43,0.43,0.43,2.657276916790963,25.0,0.99,0.0,0.9847896506180867
238,1.14,1.06,0.43,0.43,0.43,2.6528259973122847,25.0,0.99,0.0,0.9823557102543428
239,1.14,1.06,0.43,0.43,0.43,2.6628531976895085,25.0,0.99,0.0,0.9812677250948708
240,1.14,1.06,0.43,0.43,0.43,2.652270262778548,25.0,0.99,0.0,0.9820439905462779
241,1.14,1.06,0.43,0.43,0.43,2.655050335788841,25.0,0.99,0.0,0.9825685348715136
242,1.14,1.06,0.43,0.43,0.43,2.640079438045244,25.0,0.99,0.0,0.9835734312601139
243,1.14,1.06,0.43,0.43,0.43,2.635111704605855,25.0,0.99,0.0,0.9849180847854698
244,1.14,1.06,0.43,0.43,0.43,2.630155204409476,25.0,0.99,0.0,0.9874561348248305
245,1.14,1.06,0.43,0.43,0.43,2.6109861587269925,25.0,0.99,0.0,0.9895314705558483
246,1.14,1.06,0.43,0.43,0.43,2.586586429123128,25.0,0.99,0.0,0.9903943399967073
247,1.14,1.06,0.43,0.43,0.43,2.576903346784989,25.0,0.99,0.0,0.9900719774100784
248,1.14,1.06,0.43,0.43,0.43,2.581739430437332,25.0,0.99,0.0,0.9895974027726449
249,1.14,1.06,0.43,0.43,0.43,2.586047333805205,25.0,0.99,0.0,0.9890684205374685
250,1.14,1.06,0.43,0.43,0.43,2.609895866456408,25.0,0.99,0.0,0.9884316320607921
251,1.14,1.06,0.43,0.43,0.43,2.635111704605855,25.0,0.99,0.0,0.9878972984052452
252,1.14,1.06,0.43,0.43,0.43,2.669563315670218,25.0,0.99,0.0,0.9875855982661675
253,1.14,1.06,0.43,0.43,0.43,2.689250922148225,25.0,0.99,0.0,0.9874038837284898
254,1.14,1.06,0.43,0.43,0.43,2.708543397744518,25.0,0.99,0.0,0.9875185089357875
255,1.14,1.06,0.43,0.43,0.43,2.7062650786285416,25.0,0.99,0.0,0.9876693769428019
256,1.14,1.06,0.43,0.43,0.43,2.6875565889497444,25.0,0.99,0.0,0.9877298072967644
257,1.14,1.06,0.43,0.43,0.43,2.669003363370321,25.0,0.99,0.0,0.9876436705303505
258,1.14,1.06,0.43,0.43,0.43,2.623563960160223,25.0,0.99,0.0,0.9874835408909656
259,1.14,1.06,0.43,0.43,0.43,2.6055401670398863,25.0,0.99,0.0,0.9873653277077779
260,1.14,1.06,0.43,0.43,0.43,2.5603288745032904,25.0,0.99,0.0,0.9866150399700763
261,1.14,1.06,0.43,0.43,0.43,2.550763797380315,25.0,0.99,0.0,0.9848226349616256
262,1.14,1.06,0.43,0.43,0.43,2.4999519808663093,25.0,0.99,0.0,0.9824464735542844
263,1.14,1.06,0.43,0.43,0.43,2.485511567914831,25.0,0.99,0.0,0.981551457233633
264,1.14,1.06,0.43,0.43,0.43,2.468111355705993,25.0,0.99,0.0,0.9841820009810867
265,1.14,1.06,0.43,0.43,0.43,2.476281386661152,25.0,0.99,0.0,0.984507857298182
266,1.14,1.06,0.43,0.43,0.43,2.447827630101713,25.0,0.99,0.0,0.9853294824401784
267,1.14,1.06,0.43,0.43,0.43,2.438765364493839,25.0,0.99,0.0,0.9860077803441457
