,district elec,district heat,heat,district biomass,district biomethane,TTES,PTES
0,168.734848,55.92858258023927,58.64339834579096,32.71,120.0,72.62354363437265,69.85102520934818
1,168.734848,56.03766932371216,58.71652474053425,32.71,120.0,72.62913384418754,69.85350739337997
2,168.734848,56.57342858711567,59.001663793320624,32.71,120.0,72.63474926178459,69.85600066651192
3,168.734848,56.818302475044995,58.912569488862424,32.71,120.0,72.64039452137672,69.85850708474878
4,168.734848,57.02710948230256,58.76594689136114,32.71,120.0,72.64599454683535,69.86099331643182
5,168.734848,56.68351742155342,58.05229350033394,32.71,120.0,72.65158387300558,69.86347469518884
6,168.734848,56.54898758321337,57.80911732533945,32.71,120.0,72.65723396726078,69.86598294692588
7,168.734848,57.08863967348999,58.40488851906001,32.71,120.0,72.66314346714435,69.86860624200007
8,168.734848,59.339259562686166,60.824568301991434,32.71,120.0,72.66898407279797,69.87119884196939
9,168.734848,58.69452352168565,60.28361141643763,32.71,120.0,72.67466356490662,69.87371981877155
10,168.734848,57.31058706934187,58.94329854291092,32.71,120.0,72.68011517976996,69.87613954919645
11,168.734848,55.42174893611162,57.09793944220044,32.71,120.0,72.68535458187971,69.87846499752764
12,168.11727606858744,53.5335942458937,55.345549199848854,32.71,120.0,72.69044929431602,69.8807261416704
13,168.734848,52.64152823736807,54.457871061219585,32.71,120.0,72.69544736853508,69.8829443136067
14,168.734848,51.907091571293876,53.66398168912352,32.71,120.0,72.70047970751791,69.88517760913878
15,168.734848,52.12426872183903,53.83681184464992,32.71,120.0,72.70586045594915,69.88756542977157
16,168.734848,54.81124156441539,56.53970135223326,32.71,120.0,72.71155511587848,69.89009244870974
17,168.734848,57.40945106274663,59.138423314923664,32.71,120.0,72.71748503902687,69.892723750753
18,168.734848,59.28848875762761,61.10711523580247,32.71,120.0,72.72354760688377,69.89541379087049
19,168.734848,60.336243856651905,62.15536214567896,32.71,120.0,72.7297109354683,69.89814841508246
20,168.734848,61.17723262551082,63.09329778129253,32.71,120.0,72.73594050619592,69.9009123029567
21,168.734848,61.68629733761249,63.81894745106202,32.71,120.0,72.74218152626322,69.9036811427488
22,168.734848,61.778024575374616,64.44448255002168,32.71,120.0,72.74843340470365,69.90645467155099
23,168.734848,61.869860600683324,64.82209855233488,32.71,120.0,72.75478624437937,69.90927285744415
24,168.734848,62.78094307478286,64.98778005458135,32.71,120.0,72.76118153014826,69.91210973858877
25,168.734848,63.08700422697168,65.45477949714066,32.71,120.0,72.76758673731872,69.91495088608134
26,168.734848,63.38087111647506,65.47283421467402,32.71,120.0,72.77412627656034,69.91785147870054
27,168.734848,64.5265444361481,66.29335538203705,32.71,120.0,72.7807951359129,69.92080928499654
28,168.734848,65.67491128903644,67.12512198149466,32.71,120.0,72.7874928334863,69.92377973456438
29,168.734848,65.85408220086333,67.38099909306644,32.71,120.0,72.7942886415556,69.92679354496218
30,168.734848,66.50511041970476,67.96545387938986,32.71,120.0,72.80106511605001,69.92979863071625
31,168.734848,66.25517661867116,67.80621017444811,32.71,120.0,72.80786898752591,69.93281571414154
32,168.734848,66.4773029108457,68.11056763762032,32.71,120.0,72.81455319916715,69.93577958954324
33,168.734848,65.46865911534117,67.19860931348134,32.71,120.0,72.82090933196822,69.93859785766287
34,168.734848,62.50253162305192,64.21628129221173,32.71,120.0,72.82693092231771,69.94126767293804
35,168.734848,59.61911937904216,61.34880352288055,32.71,120.0,72.8324822264217,69.94372887462218
36,168.734848,55.831758878021795,57.51840241402386,32.71,120.0,72.83770381806382,69.94604380713938
37,168.734848,53.279287050434995,54.854095208991914,32.71,120.0,72.84279271899993,69.9482998278998
38,168.734848,52.30771647814117,53.891077100412,32.71,120.0,72.84779773262528,69.95051857748628
39,168.734848,51.78168779016359,53.25421302339662,32.71,120.0,72.85277547770076,69.95272515764447
40,168.734848,51.63379507496829,53.02169105836003,32.71,120.0,72.85782707382948,69.9549643915704
41,168.734848,52.18154091753046,53.55051103655837,32.71,120.0,72.86293635451712,69.95722910995265
42,168.734848,52.67615725691832,54.04349756643563,32.71,120.0,72.86816964327957,69.95954870595959
43,168.734848,53.62974453552529,54.97193202915474,32.71,120.0,72.87350449071639,69.96191322350278
44,168.734848,54.395379567044266,55.814019474825706,32.71,120.0,72.87889445888291,69.96430207665695
45,168.734848,54.79932470119287,56.348235535240555,32.71,120.0,72.88418877269629,69.9666484436856
46,168.734848,54.052718594203505,55.94031328687823,32.71,120.0,72.88937900313539,69.96894859422554
47,168.734848,53.279287050434995,55.37414976088941,32.71,120.0,72.89464052465716,69.97128024817685
48,168.734848,53.82915194175525,56.33373970332717,32.71,120.0,72.89990840282078,69.97361462827811
49,168.734848,53.86440280574205,56.26339104471102,32.71,120.0,72.90521477016516,69.9759659720928
50,168.734848,54.12347227924702,56.34099686102885,32.71,120.0,72.91055471957989,69.97833210346045
51,168.734848,54.37169228199092,56.30416536734914,32.71,120.0,72.9159559335056,69.98072528568889
52,168.734848,54.8350814934869,56.48220706810266,32.71,120.0,72.92139635846605,69.98313574478613
53,168.734848,55.13377924087495,56.48764008511939,32.71,120.0,72.92680794329826,69.98553333004263
54,168.734848,54.906650920483685,56.12770285709663,32.71,120.0,72.93224030048772,69.98794002192331
55,168.734848,55.085900573783626,56.35200040350046,32.71,120.0,72.93769858936889,69.99035810487739
56,168.734848,55.25362117349864,56.618673992717106,32.71,120.0,72.94316358338472,69.99277906061484
57,168.734848,55.31362002399587,56.776867652146485,32.71,120.0,72.94859541261401,69.99518522812134
58,168.734848,55.05001334727571,56.63195591211695,32.71,120.0,72.95391921793832,69.99754345103001
59,168.734848,54.20611161280366,55.825091328844586,32.71,120.0,72.95920251335362,69.99988363848989
60,168.734848,53.88791361164696,55.571796713759134,32.71,120.0,72.96447018138129,70.00221681328631
61,168.734848,53.87615718545817,55.58756094315552,32.71,120.0,72.96978985703518,70.00457293101573
62,168.734848,54.19429983452281,55.92028146814569,32.71,120.0,72.975116406671,70.00693200059791
63,168.734848,54.24155927191505,55.91436746994887,32.71,120.0,72.98048177076883,70.00930816657375
64,168.734848,54.54954767763392,56.19702295484291,32.71,120.0,72.98587274905928,70.01169558142576
65,168.734848,54.73977138722266,56.334704305140825,32.71,120.0,72.99127756375051,70.01408902839228
66,168.734848,54.858929694306454,56.44933313986093,32.71,120.0,72.9967030315859,70.01649152513089
67,168.734848,55.01414477579763,56.6126182045339,32.71,120.0,73.00212991538605,70.01889455272631
68,168.734848,54.9782948523506,56.6705607603144,32.71,120.0,73.00755379527389,70.02129615413514
69,168.734848,54.95440525986976,56.903973850709775,32.71,120.0,73.01292757667883,70.02367547852081
70,168.734848,54.58517438992348,56.941575744237156,32.71,120.0,73.01836607103755,70.02608335900963
71,168.734848,55.061973682894184,57.733542943764846,32.71,120.0,73.02381399960973,70.02849531959136
72,168.734848,55.1816911027965,58.036070224443264,32.71,120.0,73.02933099370095,70.03093775821412
73,168.734848,55.65057490116325,58.395895020418344,32.71,120.0,73.0348676070679,70.03338878248269
74,168.734848,55.698844693512015,58.22962585293277,32.71,120.0,73.04039985195094,70.03583777296632
75,168.734848,55.6626392192024,57.851237556232526,32.71,120.0,73.0459589520566,70.03829855079617
76,168.734848,55.916472296753085,57.75623451593545,32.71,120.0,73.05156900975778,70.04078178269701
