,battery storage,TTES storage,PTES storage
0,4.16665e-05,7.606819591570612e-05,3.511815044775101e-05
1,4.16665e-05,7.69692480633474e-05,3.553413618924539e-05
2,4.16665e-05,7.731034616232425e-05,3.569160981160638e-05
3,4.16665e-05,7.77151556599879e-05,3.587849686302776e-05
4,4.16665e-05,7.708649987407373e-05,3.558826744186406e-05
5,4.16665e-05,7.693330070929243e-05,3.551754049412336e-05
6,4.16665e-05,7.776368458796205e-05,3.5900901051442496e-05
7,4.16665e-05,8.132733610495192e-05,3.7546120168452814e-05
8,4.16665e-05,8.037274354527122e-05,3.710541660340022e-05
9,4.16665e-05,7.81495477154885e-05,3.60790411953172e-05
10,4.16665e-05,7.500834104515154e-05,3.462885078251164e-05
11,4.16665e-05,7.208332599120172e-05,3.32784688326048e-05
12,4.16665e-05,7.008778264009873e-05,3.235719298551226e-05
13,4.16665e-05,6.875360716710001e-05,3.174124864214452e-05
14,4.16665e-05,6.922016153172866e-05,3.195664124048142e-05
15,4.16665e-05,7.400708036170657e-05,3.416660210032121e-05
16,4.16665e-05,7.831850027954684e-05,3.61570409623908e-05
17,4.16665e-05,8.154741849377786e-05,3.764772487129412e-05
18,4.16665e-05,8.336457838675866e-05,3.848664702188694e-05
19,4.16665e-05,8.474292681424023e-05,3.912298454590759e-05
20,4.16665e-05,8.564638954915335e-05,3.954008317519248e-05
21,4.16665e-05,8.579643803407927e-05,3.960935555906661e-05
22,4.16665e-05,8.59383243550844e-05,3.967485974393065e-05
23,4.16665e-05,8.731851244127353e-05,4.031204657705463e-05
24,4.16665e-05,8.789419874371254e-05,4.0577821753347295e-05
25,4.16665e-05,8.80228056892197e-05,4.063719529318978e-05
26,4.16665e-05,8.986077275654763e-05,4.1485723422606175e-05
27,4.16665e-05,9.162938257605172e-05,4.230223162261056e-05
28,4.16665e-05,9.201714879879284e-05,4.2481250362109376e-05
29,4.16665e-05,9.335633575585696e-05,4.309950834062064e-05
30,4.16665e-05,9.308207858991996e-05,4.297289294901305e-05
31,4.16665e-05,9.344967200338548e-05,4.314259857489632e-05
32,4.16665e-05,9.179774306604334e-05,4.237995804882336e-05
33,4.16665e-05,8.72844470369308e-05,4.029631971538306e-05
34,4.16665e-05,8.268356633693855e-05,3.817224645888665e-05
35,4.16665e-05,7.622016864134917e-05,3.518831118942288e-05
36,4.16665e-05,7.168803196961133e-05,3.309597475930391e-05
37,4.16665e-05,6.986142003706447e-05,3.225268891711144e-05
38,4.16665e-05,6.870507823912586e-05,3.171884445372978e-05
39,4.16665e-05,6.832608739987459e-05,3.1543877016275445e-05
40,4.16665e-05,6.933498160968072e-05,3.2009649843135945e-05
41,4.16665e-05,7.012180575343667e-05,3.237290032283661e-05
42,4.16665e-05,7.18185843013381e-05,3.315624641911776e-05
43,4.16665e-05,7.32069556969502e-05,3.379721121342536e-05
44,4.16665e-05,7.395787477765599e-05,3.414388552235119e-05
45,4.16665e-05,7.264008706900584e-05,3.3535506863524375e-05
46,4.16665e-05,7.120695064484402e-05,3.2873875547703e-05
47,4.16665e-05,7.217981291858562e-05,3.332301363074704e-05
48,4.16665e-05,7.226179403133331e-05,3.33608615777989e-05
49,4.16665e-05,7.278446855929251e-05,3.360216298487338e-05
50,4.16665e-05,7.323973122564745e-05,3.381234258250725e-05
51,4.16665e-05,7.407451336881315e-05,3.419773367193542e-05
52,4.16665e-05,7.460670337284572e-05,3.444342805713045e-05
53,4.16665e-05,7.420570006561144e-05,3.425829819695729e-05
54,4.16665e-05,7.448498986111606e-05,3.4387236985881915e-05
55,4.16665e-05,7.483494792559232e-05,3.45488009589818e-05
56,4.16665e-05,7.4921263866329e-05,3.458865015162189e-05
57,4.16665e-05,7.446105315241601e-05,3.437618620536541e-05
58,4.16665e-05,7.297490495377425e-05,3.36900811203258e-05
59,4.16665e-05,7.241437997654544e-05,3.343130542250516e-05
60,4.16665e-05,7.219497424379593e-05,3.333001310921913e-05
61,4.16665e-05,7.290243931709995e-05,3.365662615139449e-05
62,4.16665e-05,7.299131386362527e-05,3.3697656567040346e-05
63,4.16665e-05,7.351779458201369e-05,3.3940715165363e-05
64,4.16665e-05,7.38633120909891e-05,3.410022908200664e-05
65,4.16665e-05,7.404740483475527e-05,3.41852185653787e-05
66,4.16665e-05,7.432483382605002e-05,3.431329828302643e-05
67,4.16665e-05,7.433870527561482e-05,3.431970226890886e-05
68,4.16665e-05,7.429203715185043e-05,3.429815715177096e-05
69,4.16665e-05,7.360041005983303e-05,3.397885597762292e-05
70,4.16665e-05,7.44811836706867e-05,3.43854797946337e-05
71,4.16665e-05,7.460482142313338e-05,3.444255922367992e-05
72,4.16665e-05,7.554490816817787e-05,3.487656593764213e-05
73,4.16665e-05,7.580781019933392e-05,3.499793904202584e-05
74,4.16665e-05,7.574225914193958e-05,3.4967676303862114e-05
75,4.16665e-05,7.610414326976121e-05,3.51347461428731e-05
76,4.16665e-05,7.679585494378817e-05,3.5454086365715553e-05
77,4.16665e-05,7.822715170924244e-05,3.6114868372433605e-05
