,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling,heating grid
0,0.0,5.757478190897922,0.0,0.0,0.0,17.984151602714384
1,0.0,5.849325941139823,0.0,0.0,0.0,18.23548104684882
2,0.0,6.515866327449486,0.0,0.0,0.0,20.121072825998954
3,0.0,7.532138274160312,0.0,0.0,0.0,23.159090297723118
4,0.0,9.026656316740219,0.0,0.0,0.0,27.65266640808121
5,0.0,11.190275076784308,0.0,0.0,0.0,34.48858978647108
6,0.0,12.053462477335225,0.0,0.0,0.0,37.237323059938205
7,0.0,11.778630489785174,0.0,0.0,0.0,36.04429781371573
8,0.0,11.32076399732229,0.0,0.0,0.0,33.32921464616343
9,0.0,10.394054897120103,0.0,0.0,0.0,30.937049428937772
10,0.0,9.096528170708382,0.0,0.0,0.0,29.48155861144714
11,0.0,7.204408725896711,0.0,0.0,0.0,27.865262610901937
12,0.0,5.846916326839547,0.0,0.0,0.0,25.073644938027467
13,0.0,9.599605452550962,12.782992048994592,0.0,0.0,24.627531287279666
14,0.0,10.293604371169714,12.782992048994592,0.0,0.0,25.07381197132056
15,0.0,11.375953813525692,12.782992048994592,0.0,0.0,25.78119513790215
16,0.0,8.405859907848766,0.0,0.0,0.0,26.791928433737155
17,0.0,9.193605467459026,0.0,0.0,0.0,27.97653565771735
18,0.0,9.331994147231589,0.0,0.0,0.0,27.497647708328913
19,0.0,9.652296789402612,0.0,0.0,0.0,27.94755781032856
20,0.0,9.442578105767215,0.0,0.0,0.0,26.96449086990685
21,0.0,8.679886898910683,0.0,0.0,0.0,24.58197822793067
22,0.0,7.078987401419504,0.0,0.0,0.0,20.018364310896757
23,0.0,6.468881808933658,0.0,0.0,0.0,18.265919745921522
24,0.0,8.69816329265511,0.0,0.0,0.0,24.20422534454815
25,0.0,8.223877805089252,0.0,0.0,0.0,22.773417614691123
26,0.0,9.313280141517321,0.0,0.0,0.0,25.67059465083956
27,0.0,11.3053581136069,0.0,0.0,0.0,30.608171213848298
28,0.0,14.121260976224214,0.0,0.0,0.0,37.56344808133139
29,0.0,13.514310542821116,0.0,0.0,0.0,35.851114343716475
30,0.0,14.376588306090166,0.0,0.0,0.0,37.76524302221263
31,0.0,13.47262283758194,0.0,0.0,0.0,35.52415876196043
32,0.0,12.909422772021488,0.0,0.0,0.0,33.92539391231449
33,0.0,11.863733295567046,0.0,0.0,0.0,31.657702618288166
34,0.0,10.89832795947942,0.0,0.0,0.0,30.56829268946736
35,0.0,8.815999942313299,0.0,0.0,0.0,28.97915400318314
36,0.0,7.2290011011301,0.0,0.0,0.0,27.89554708580671
37,0.0,7.953359701383651,0.0,0.0,0.0,28.47461917742842
38,0.0,12.164013154021582,12.782992048994592,0.0,0.0,27.842869710370643
39,0.0,12.542392855716619,12.782992048994592,0.0,0.0,29.53213646483137
40,0.0,12.984403951239708,12.782992048994592,0.0,0.0,31.148852449407443
41,0.0,13.338867227370741,12.782992048994592,0.0,0.0,31.874416381850697
42,0.0,13.562718755334615,12.782992048994592,0.0,0.0,32.197493261260774
43,0.0,10.233005825121369,0.0,0.0,0.0,33.33411731126993
44,0.0,9.980420242194313,0.0,0.0,0.0,32.05370850308531
45,0.0,9.316839878445458,0.0,0.0,0.0,29.70194512258289
46,0.0,7.534864495516862,0.0,0.0,0.0,24.352826298312678
47,0.0,6.652624021098152,0.0,0.0,0.0,21.81353450648118
48,0.0,5.7588440425173815,0.0,0.0,0.0,18.68999761735124
49,0.0,5.997332023032577,0.0,0.0,0.0,19.45125870038834
50,0.0,6.506014371774835,0.0,0.0,0.0,21.00007441870409
51,0.0,7.455933022584771,0.0,0.0,0.0,23.956348047396133
52,0.0,8.803006198185761,0.0,0.0,0.0,28.04555125227041
53,0.0,10.711917957504546,0.0,0.0,0.0,33.94227447970843
54,0.0,11.726132651668955,0.0,0.0,0.0,37.309662015262084
55,0.0,11.399482371348459,0.0,0.0,0.0,36.152317608552096
56,0.0,10.673438112837195,0.0,0.0,0.0,33.746991091273465
57,0.0,10.012889751802351,0.0,0.0,0.0,31.62414689792518
58,0.0,9.21439478229504,0.0,0.0,0.0,29.24158121203199
59,0.0,8.671335428283912,0.0,0.0,0.0,28.19649286936882
60,0.0,8.134164794825917,0.0,0.0,0.0,27.022867843171372
61,0.0,8.206106773865969,0.0,0.0,0.0,26.609212299890928
62,0.0,8.234494316642378,0.0,0.0,0.0,26.544514757780554
63,0.0,8.494446615030146,0.0,0.0,0.0,27.358632896181575
64,0.0,8.712486549645808,0.0,0.0,0.0,27.902456079514774
65,0.0,9.043655793202142,0.0,0.0,0.0,28.862404672011063
66,0.0,9.10635811294105,0.0,0.0,0.0,28.999389912787898
67,0.0,9.112876043228844,0.0,0.0,0.0,28.93826992204887
68,0.0,8.625431213682718,0.0,0.0,0.0,27.408231656989415
69,0.0,7.5488548567351454,0.0,0.0,0.0,23.99772263294314
70,0.0,6.253801659711355,0.0,0.0,0.0,20.015243022191473
71,0.0,5.670539577426967,0.0,0.0,0.0,17.991363482389204
72,0.0,5.363135182255473,0.0,0.0,0.0,16.97912104401437
73,0.0,5.64554727929313,0.0,0.0,0.0,17.722617319185275
74,0.0,6.089306241135611,0.0,0.0,0.0,19.099108468881038
75,0.0,6.9501414370447385,0.0,0.0,0.0,21.81329710515245
76,0.0,8.240820439281753,0.0,0.0,0.0,25.74673441609066
77,0.0,10.168948044659857,0.0,0.0,0.0,31.524236438873533
78,0.0,11.330123310571977,0.0,0.0,0.0,34.62697396718119
79,0.0,11.324494587969383,0.0,0.0,0.0,34.43124526068263
80,0.0,10.459900097549513,0.0,0.0,0.0,31.61142446976815
81,0.0,9.67977344550577,0.0,0.0,0.0,29.398926496870335
82,0.0,8.935200568547572,0.0,0.0,0.0,27.514640662440993
83,0.0,7.847188689970359,0.0,0.0,0.0,26.205296548592106
84,0.0,10.337412851570182,12.782992048994592,0.0,0.0,25.432770507594814
85,0.0,10.313932083286947,12.782992048994592,0.0,0.0,25.0961737426369
86,0.0,10.402739856056952,12.782992048994592,0.0,0.0,24.907548127138973
87,0.0,10.717015986347805,12.782992048994592,0.0,0.0,25.09118266149148
88,0.0,10.923179795359442,12.782992048994592,0.0,0.0,25.811200637156016
89,0.0,11.081416414418287,12.782992048994592,0.0,0.0,25.870000567441544
90,0.0,11.417277070494976,12.782992048994592,0.0,0.0,26.128362805119657
91,0.0,11.742225731609047,12.782992048994592,0.0,0.0,26.117213453328407
92,0.0,7.691686946408248,0.01678885048443135,0.0,0.0,24.799571066076773
93,0.0,6.86313122533445,0.017641583149611506,0.0,0.0,21.448021517645074
94,0.0,6.021938374110176,0.017794001283448324,0.0,0.0,18.083873764100435
95,0.0,5.559783935918848,0.01827117907694742,0.0,0.0,16.604693579436248
96,0.0,9.364213171411707,0.018663442949758746,0.0,0.0,27.379876811631043
97,0.0,9.950316255618404,0.01907128596781149,0.0,0.0,28.595578958059896
98,0.0,10.944337325423616,0.01940615111524835,0.0,0.0,30.883676199593893
99,0.0,12.708801911144695,0.019576388740887296,0.0,0.0,35.359948625743705
100,0.0,15.138022280475504,0.019603480796774875,0.0,0.0,41.80302413583923
101,0.0,18.518503046811947,0.0,0.06820509485486781,0.0,51.197858328899095
102,0.0,18.518503046811947,0.0,5.168522060198747,0.0,56.2226473130853
103,0.0,18.518503046811947,0.0,4.783518410589423,0.0,55.93477573473217
104,0.0,18.518503046811947,0.0,0.11330043240005239,0.0,51.296984472228935
105,0.0,18.4268224831582,3.2751322506673333,0.0,0.0,47.66591478840916
106,0.0,18.518503046811947,6.247652493791229,0.0,0.0,44.56997074094559
