,heat demand
163,91.7083594
164,87.084672
165,77.0496679
166,65.6899443
167,61.9479293
168,61.8751933
169,64.7221795
170,68.3036741
171,74.3925153
172,90.2384573
173,112.352816
174,117.8077
175,113.246282
176,106.449576
177,102.175986
178,98.7384262
179,91.8901559
180,87.334364
181,86.0329923
182,86.872999
183,89.4324962
184,92.3856194
185,93.1293675
186,91.3795673
187,89.4385882
188,88.429364
189,78.4297557
190,67.3937424
191,64.3120207
192,62.6912198
193,62.3767528
194,69.5235222
195,82.6473433
196,98.0808855
197,95.6640544
198,100.473806
199,97.5256599
200,92.7576222
201,88.7198389
202,86.8271703
203,82.6071915
204,80.5538837
205,81.8794452
206,83.5735676
207,83.1355208
208,88.4768622
209,90.225901
210,89.1698314
211,89.1373424
212,86.5344415
213,76.33745
214,68.6411272
215,62.1361554
216,62.6245229
217,64.5339768
218,69.3505065
219,75.5335227
220,91.1440871
221,108.825333
222,117.127476
223,113.276027
224,108.368916
225,103.725233
226,98.1529243
227,93.1498479
228,91.6057443
229,90.2820245
230,90.94883
231,91.5742204
232,94.1599989
233,94.4967882
234,93.3179739
235,90.1730884
236,86.2659951
237,76.0504883
238,65.5597088
239,61.7519497
240,64.4215799
241,66.3601418
242,70.4197277
243,76.698117
244,92.2167515
245,110.49828
246,120.42426
247,116.514088
248,111.198624
249,105.817691
250,99.9928861
251,95.5782053
252,93.1784328
253,91.8342188
254,92.6775889
255,93.8115205
256,94.2735396
257,93.6163527
258,92.4186695
259,91.5539771
260,86.4219613
261,76.2157657
262,65.8986957
263,62.7016731
264,73.129003
265,74.6671729
266,78.8489222
267,82.6712649
268,101.32286
269,120.504365
270,131.379134
271,130.458127
272,122.831944
273,116.566338
274,112.574985
275,107.506196
276,104.022728
277,102.585304
278,103.310398
279,102.359756
280,104.7826
281,103.50644
282,102.929353
283,99.3304005
284,93.0936936
285,84.0832453
286,74.9490652
287,71.5121267
288,76.8611677
289,78.4781217
290,82.8789499
291,86.894716
292,106.51306
293,126.644599
294,138.0414
295,137.095399
296,129.070187
297,122.479063
298,118.283157
299,112.95677
300,109.291855
301,107.781873
302,108.540914
303,107.536316
304,110.072803
305,108.722205
306,108.112355
307,104.324585
308,97.7655674
309,88.3042514
310,78.7315355
311,75.1492178
312,72.5204235
313,74.6399795
314,77.9450675
315,81.6375449
316,99.9873699
317,123.010371
318,133.529554
319,132.759445
320,125.587245
321,119.421454
322,115.18664
323,110.041503
324,106.137364
325,105.051772
326,105.41879
327,104.646029
328,105.995247
329,106.387062
330,104.87125
331,100.85057
332,94.7125493
333,85.9338102
334,76.450034
335,72.1960147
336,70.6931287
337,70.9459096
338,73.9986599
339,78.9895328
340,97.0054786
341,116.521848
342,125.124164
343,117.732248
344,113.660526
345,109.320081
346,106.411747
347,101.602047
348,98.1683286
349,96.8053443
350,94.6218028
351,95.9918422
352,98.0322775
353,97.924202
354,97.0612618
355,95.4060849
356,91.5912057
357,83.4992772
358,73.7487953
359,70.6296218
360,67.7105745
361,67.3672663
362,75.0914399
363,89.2723785
364,105.942056
365,103.290646
366,108.479256
367,105.29792
368,100.14791
369,95.7864005
370,93.7441937
371,89.1870206
372,86.96881
373,88.4024205
374,90.232871
375,89.7579635
376,95.5264985
377,97.4129784
378,96.2692018
379,96.2341009
380,93.423511
381,82.4114091
382,74.1116661
383,67.1017896
384,60.5500023
385,62.3968848
386,67.0522097
387,73.0301826
388,88.1229871
389,105.229777
390,113.261227
391,109.535709
392,104.790974
393,100.301466
394,94.9142474
395,90.0769219
396,88.5839023
397,87.3042418
398,87.9492058
399,88.5544514
400,91.0562523
401,91.3840068
402,90.2458294
403,87.206559
404,83.4290031
405,73.5509429
406,63.4012543
407,59.7107981
408,59.7149635
409,61.5134188
410,65.2736322
411,71.0928963
412,85.4768267
413,102.447653
414,111.657028
415,108.028718
416,103.101427
417,98.1149885
418,92.716932
419,88.6240839
420,86.4003
421,85.1547408
422,85.9369034
423,86.9887866
424,87.4230474
425,86.8196418
426,85.7129749
427,84.9122607
428,80.1565452
429,70.6935355
430,61.1152608
431,58.1314471
432,60.5559678
433,62.380131
434,66.1895571
435,72.089243
436,86.6720643
437,103.907766
438,113.280113
439,109.590939
440,104.591076
441,99.5348074
